date,Nexus,isPartial
2017-11-22,87,False
2017-11-23,92,False
2017-11-24,100,False
2017-11-25,90,False
2017-11-26,96,False
2017-11-27,94,False
2017-11-28,92,False
2017-11-29,94,False
2017-11-30,90,False
2017-12-01,86,False
2017-12-02,90,False
2017-12-03,100,False
2017-12-04,97,False
2017-12-05,86,False
2017-12-06,94,False
2017-12-07,92,False
2017-12-08,88,False
2017-12-09,89,False
2017-12-10,84,False
2017-12-11,96,False
2017-12-12,93,False
2017-12-13,87,False
2017-12-14,92,False
2017-12-15,86,False
2017-12-16,93,False
2017-12-17,86,False
2017-12-18,86,False
2017-12-19,82,False
