date,BitConnect,isPartial
2017-11-22,59,False
2017-11-23,54,False
2017-11-24,53,False
2017-11-25,61,False
2017-11-26,64,False
2017-11-27,57,False
2017-11-28,71,False
2017-11-29,77,False
2017-11-30,69,False
2017-12-01,78,False
2017-12-02,70,False
2017-12-03,72,False
2017-12-04,69,False
2017-12-05,67,False
2017-12-06,83,False
2017-12-07,85,False
2017-12-08,84,False
2017-12-09,76,False
2017-12-10,86,False
2017-12-11,73,False
2017-12-12,75,False
2017-12-13,82,False
2017-12-14,100,False
2017-12-15,71,False
2017-12-16,67,False
2017-12-17,80,False
2017-12-18,81,False
2017-12-19,72,False
