date,SmartCash,isPartial
2017-11-22,0,False
2017-11-23,16,False
2017-11-24,66,False
2017-11-25,36,False
2017-11-26,36,False
2017-11-27,31,False
2017-11-28,62,False
2017-11-29,48,False
2017-11-30,0,False
2017-12-01,17,False
2017-12-02,18,False
2017-12-03,18,False
2017-12-04,31,False
2017-12-05,16,False
2017-12-06,32,False
2017-12-07,49,False
2017-12-08,0,False
2017-12-09,55,False
2017-12-10,18,False
2017-12-11,47,False
2017-12-12,63,False
2017-12-13,80,False
2017-12-14,49,False
2017-12-15,100,False
2017-12-16,37,False
2017-12-17,18,False
2017-12-18,32,False
2017-12-19,48,False
