date,GBPJPY,isPartial
2012-12-30,11,False
2013-01-06,10,False
2013-01-13,15,False
2013-01-20,10,False
2013-01-27,25,False
2013-02-03,5,False
2013-02-10,30,False
2013-02-17,15,False
2013-02-24,15,False
2013-03-03,34,False
2013-03-10,19,False
2013-03-17,34,False
2013-03-24,5,False
2013-03-31,29,False
2013-04-07,24,False
2013-04-14,15,False
2013-04-21,19,False
2013-04-28,5,False
2013-05-05,20,False
2013-05-12,24,False
2013-05-19,5,False
2013-05-26,15,False
2013-06-02,10,False
2013-06-09,24,False
2013-06-16,10,False
2013-06-23,10,False
2013-06-30,5,False
2013-07-07,5,False
2013-07-14,15,False
2013-07-21,30,False
2013-07-28,15,False
2013-08-04,25,False
2013-08-11,25,False
2013-08-18,10,False
2013-08-25,19,False
2013-09-01,33,False
2013-09-08,9,False
2013-09-15,14,False
2013-09-22,14,False
2013-09-29,14,False
2013-10-06,14,False
2013-10-13,9,False
2013-10-20,5,False
2013-10-27,5,False
2013-11-03,22,False
2013-11-10,4,False
2013-11-17,18,False
2013-11-24,36,False
2013-12-01,22,False
2013-12-08,9,False
2013-12-15,18,False
2013-12-22,0,False
2013-12-29,19,False
2014-01-05,13,False
2014-01-12,9,False
2014-01-19,8,False
2014-01-26,17,False
2014-02-02,13,False
2014-02-09,25,False
2014-02-16,4,False
2014-02-23,16,False
2014-03-02,21,False
2014-03-09,29,False
2014-03-16,17,False
2014-03-23,13,False
2014-03-30,33,False
2014-04-06,13,False
2014-04-13,13,False
2014-04-20,22,False
2014-04-27,13,False
2014-05-04,8,False
2014-05-11,12,False
2014-05-18,27,False
2014-05-25,14,False
2014-06-01,14,False
2014-06-08,24,False
2014-06-15,19,False
2014-06-22,19,False
2014-06-29,43,False
2014-07-06,19,False
2014-07-13,5,False
2014-07-20,10,False
2014-07-27,19,False
2014-08-03,15,False
2014-08-10,19,False
2014-08-17,19,False
2014-08-24,18,False
2014-08-31,9,False
2014-09-07,18,False
2014-09-14,36,False
2014-09-21,18,False
2014-09-28,13,False
2014-10-05,18,False
2014-10-12,35,False
2014-10-19,35,False
2014-10-26,0,False
2014-11-02,13,False
2014-11-09,26,False
2014-11-16,17,False
2014-11-23,26,False
2014-11-30,29,False
2014-12-07,17,False
2014-12-14,13,False
2014-12-21,10,False
2014-12-28,9,False
2015-01-04,25,False
2015-01-11,16,False
2015-01-18,32,False
2015-01-25,8,False
2015-02-01,28,False
2015-02-08,32,False
2015-02-15,21,False
2015-02-22,36,False
2015-03-01,16,False
2015-03-08,24,False
2015-03-15,20,False
2015-03-22,22,False
2015-03-29,8,False
2015-04-05,16,False
2015-04-12,16,False
2015-04-19,12,False
2015-04-26,12,False
2015-05-03,4,False
2015-05-10,4,False
2015-05-17,28,False
2015-05-24,20,False
2015-05-31,16,False
2015-06-07,20,False
2015-06-14,28,False
2015-06-21,12,False
2015-06-28,12,False
2015-07-05,40,False
2015-07-12,32,False
2015-07-19,25,False
2015-07-26,12,False
2015-08-02,36,False
2015-08-09,28,False
2015-08-16,16,False
2015-08-23,39,False
2015-08-30,27,False
2015-09-06,27,False
2015-09-13,11,False
2015-09-20,34,False
2015-09-27,26,False
2015-10-04,41,False
2015-10-11,26,False
2015-10-18,7,False
2015-10-25,11,False
2015-11-01,7,False
2015-11-08,18,False
2015-11-15,37,False
2015-11-22,11,False
2015-11-29,18,False
2015-12-06,22,False
2015-12-13,30,False
2015-12-20,8,False
2015-12-27,17,False
2016-01-03,20,False
2016-01-10,31,False
2016-01-17,27,False
2016-01-24,46,False
2016-01-31,35,False
2016-02-07,35,False
2016-02-14,30,False
2016-02-21,45,False
2016-02-28,34,False
2016-03-06,35,False
2016-03-13,31,False
2016-03-20,32,False
2016-03-27,35,False
2016-04-03,54,False
2016-04-10,35,False
2016-04-17,35,False
2016-04-24,46,False
2016-05-01,43,False
2016-05-08,46,False
2016-05-15,50,False
2016-05-22,20,False
2016-05-29,64,False
2016-06-05,47,False
2016-06-12,58,False
2016-06-19,100,False
2016-06-26,80,False
2016-07-03,54,False
2016-07-10,87,False
2016-07-17,58,False
2016-07-24,50,False
2016-07-31,47,False
2016-08-07,38,False
2016-08-14,35,False
2016-08-21,42,False
2016-08-28,45,False
2016-09-04,48,False
2016-09-11,36,False
2016-09-18,39,False
2016-09-25,40,False
2016-10-02,35,False
2016-10-09,39,False
2016-10-16,35,False
2016-10-23,43,False
2016-10-30,51,False
2016-11-06,23,False
2016-11-13,19,False
2016-11-20,53,False
2016-11-27,22,False
2016-12-04,36,False
2016-12-11,34,False
2016-12-18,43,False
2016-12-25,41,False
2017-01-01,23,False
2017-01-08,25,False
2017-01-15,39,False
2017-01-22,47,False
2017-01-29,57,False
2017-02-05,25,False
2017-02-12,32,False
2017-02-19,43,False
2017-02-26,66,False
2017-03-05,24,False
2017-03-12,17,False
2017-03-19,53,False
2017-03-26,54,False
2017-04-02,29,False
2017-04-09,37,False
2017-04-16,50,False
2017-04-23,46,False
2017-04-30,69,False
2017-05-07,28,False
2017-05-14,38,False
2017-05-21,23,False
2017-05-28,38,False
2017-06-04,75,False
2017-06-11,58,False
2017-06-18,22,False
2017-06-25,43,False
2017-07-02,24,False
2017-07-09,69,False
2017-07-16,39,False
2017-07-23,42,False
2017-07-30,11,False
2017-08-06,48,False
2017-08-13,38,False
2017-08-20,33,False
2017-08-27,37,False
2017-09-03,33,False
2017-09-10,50,False
2017-09-17,62,False
2017-09-24,29,False
2017-10-01,54,False
2017-10-08,39,False
2017-10-15,29,False
2017-10-22,35,False
2017-10-29,18,False
2017-11-05,35,False
2017-11-12,28,False
2017-11-19,49,False
2017-11-26,27,False
2017-12-03,73,False
2017-12-10,53,False
2017-12-17,25,True
