date,VeChain,isPartial
2017-11-22,5,False
2017-11-23,2,False
2017-11-24,0,False
2017-11-25,2,False
2017-11-26,2,False
2017-11-27,2,False
2017-11-28,6,False
2017-11-29,8,False
2017-11-30,2,False
2017-12-01,4,False
2017-12-02,13,False
2017-12-03,6,False
2017-12-04,10,False
2017-12-05,17,False
2017-12-06,8,False
2017-12-07,11,False
2017-12-08,11,False
2017-12-09,13,False
2017-12-10,4,False
2017-12-11,9,False
2017-12-12,12,False
2017-12-13,10,False
2017-12-14,21,False
2017-12-15,28,False
2017-12-16,12,False
2017-12-17,35,False
2017-12-18,100,False
2017-12-19,68,False
2017-12-20,34,False
