date,BitBay,isPartial
2017-11-22,39,False
2017-11-23,37,False
2017-11-24,30,False
2017-11-25,38,False
2017-11-26,37,False
2017-11-27,45,False
2017-11-28,45,False
2017-11-29,65,False
2017-11-30,45,False
2017-12-01,43,False
2017-12-02,41,False
2017-12-03,37,False
2017-12-04,42,False
2017-12-05,42,False
2017-12-06,53,False
2017-12-07,68,False
2017-12-08,60,False
2017-12-09,62,False
2017-12-10,50,False
2017-12-11,60,False
2017-12-12,68,False
2017-12-13,61,False
2017-12-14,62,False
2017-12-15,50,False
2017-12-16,60,False
2017-12-17,65,False
2017-12-18,85,False
2017-12-19,100,False
2017-12-20,88,False
