date,Elastic,isPartial
2017-11-22,90,False
2017-11-23,69,False
2017-11-24,70,False
2017-11-25,59,False
2017-11-26,66,False
2017-11-27,87,False
2017-11-28,89,False
2017-11-29,96,False
2017-11-30,95,False
2017-12-01,94,False
2017-12-02,57,False
2017-12-03,59,False
2017-12-04,76,False
2017-12-05,91,False
2017-12-06,100,False
2017-12-07,96,False
2017-12-08,97,False
2017-12-09,58,False
2017-12-10,70,False
2017-12-11,88,False
2017-12-12,91,False
2017-12-13,99,False
2017-12-14,95,False
2017-12-15,81,False
2017-12-16,55,False
2017-12-17,63,False
2017-12-18,75,False
2017-12-19,77,False
