date,ION,isPartial
2017-11-22,93,False
2017-11-23,84,False
2017-11-24,88,False
2017-11-25,90,False
2017-11-26,93,False
2017-11-27,100,False
2017-11-28,98,False
2017-11-29,90,False
2017-11-30,90,False
2017-12-01,92,False
2017-12-02,89,False
2017-12-03,81,False
2017-12-04,94,False
2017-12-05,93,False
2017-12-06,96,False
2017-12-07,96,False
2017-12-08,83,False
2017-12-09,79,False
2017-12-10,81,False
2017-12-11,88,False
2017-12-12,90,False
2017-12-13,91,False
2017-12-14,96,False
2017-12-15,81,False
2017-12-16,74,False
2017-12-17,85,False
2017-12-18,98,False
2017-12-19,82,False
