date,Pura,isPartial
2017-11-22,74,False
2017-11-23,76,False
2017-11-24,84,False
2017-11-25,82,False
2017-11-26,81,False
2017-11-27,100,False
2017-11-28,90,False
2017-11-29,73,False
2017-11-30,76,False
2017-12-01,65,False
2017-12-02,57,False
2017-12-03,69,False
2017-12-04,72,False
2017-12-05,71,False
2017-12-06,76,False
2017-12-07,70,False
2017-12-08,71,False
2017-12-09,80,False
2017-12-10,77,False
2017-12-11,76,False
2017-12-12,78,False
2017-12-13,74,False
2017-12-14,70,False
2017-12-15,74,False
2017-12-16,77,False
2017-12-17,71,False
2017-12-18,74,False
2017-12-19,73,False
