date,DECENT,isPartial
2017-11-22,83,False
2017-11-23,66,False
2017-11-24,61,False
2017-11-25,91,False
2017-11-26,89,False
2017-11-27,70,False
2017-11-28,85,False
2017-11-29,79,False
2017-11-30,77,False
2017-12-01,83,False
2017-12-02,100,False
2017-12-03,88,False
2017-12-04,89,False
2017-12-05,80,False
2017-12-06,69,False
2017-12-07,71,False
2017-12-08,82,False
2017-12-09,62,False
2017-12-10,75,False
2017-12-11,84,False
2017-12-12,88,False
2017-12-13,82,False
2017-12-14,77,False
2017-12-15,80,False
2017-12-16,55,False
2017-12-17,84,False
2017-12-18,82,False
2017-12-19,77,False
