date,AUDUSD,isPartial
2012-12-30,15,False
2013-01-06,25,False
2013-01-13,30,False
2013-01-20,44,False
2013-01-27,22,False
2013-02-03,48,False
2013-02-10,33,False
2013-02-17,16,False
2013-02-24,35,False
2013-03-03,29,False
2013-03-10,29,False
2013-03-17,5,False
2013-03-24,30,False
2013-03-31,21,False
2013-04-07,37,False
2013-04-14,37,False
2013-04-21,24,False
2013-04-28,14,False
2013-05-05,71,False
2013-05-12,71,False
2013-05-19,69,False
2013-05-26,56,False
2013-06-02,100,False
2013-06-09,58,False
2013-06-16,66,False
2013-06-23,69,False
2013-06-30,54,False
2013-07-07,72,False
2013-07-14,55,False
2013-07-21,33,False
2013-07-28,49,False
2013-08-04,63,False
2013-08-11,69,False
2013-08-18,56,False
2013-08-25,49,False
2013-09-01,84,False
2013-09-08,36,False
2013-09-15,38,False
2013-09-22,28,False
2013-09-29,27,False
2013-10-06,35,False
2013-10-13,28,False
2013-10-20,27,False
2013-10-27,28,False
2013-11-03,42,False
2013-11-10,22,False
2013-11-17,17,False
2013-11-24,46,False
2013-12-01,48,False
2013-12-08,37,False
2013-12-15,60,False
2013-12-22,36,False
2013-12-29,31,False
2014-01-05,51,False
2014-01-12,35,False
2014-01-19,32,False
2014-01-26,26,False
2014-02-02,42,False
2014-02-09,44,False
2014-02-16,25,False
2014-02-23,43,False
2014-03-02,54,False
2014-03-09,30,False
2014-03-16,32,False
2014-03-23,39,False
2014-03-30,57,False
2014-04-06,30,False
2014-04-13,39,False
2014-04-20,33,False
2014-04-27,26,False
2014-05-04,35,False
2014-05-11,30,False
2014-05-18,41,False
2014-05-25,31,False
2014-06-01,15,False
2014-06-08,36,False
2014-06-15,24,False
2014-06-22,23,False
2014-06-29,19,False
2014-07-06,24,False
2014-07-13,48,False
2014-07-20,21,False
2014-07-27,21,False
2014-08-03,25,False
2014-08-10,13,False
2014-08-17,18,False
2014-08-24,20,False
2014-08-31,33,False
2014-09-07,37,False
2014-09-14,54,False
2014-09-21,41,False
2014-09-28,37,False
2014-10-05,22,False
2014-10-12,26,False
2014-10-19,34,False
2014-10-26,17,False
2014-11-02,28,False
2014-11-09,33,False
2014-11-16,36,False
2014-11-23,21,False
2014-11-30,51,False
2014-12-07,35,False
2014-12-14,41,False
2014-12-21,34,False
2014-12-28,31,False
2015-01-04,27,False
2015-01-11,25,False
2015-01-18,46,False
2015-01-25,44,False
2015-02-01,73,False
2015-02-08,44,False
2015-02-15,41,False
2015-02-22,33,False
2015-03-01,29,False
2015-03-08,39,False
2015-03-15,28,False
2015-03-22,29,False
2015-03-29,38,False
2015-04-05,45,False
2015-04-12,26,False
2015-04-19,35,False
2015-04-26,44,False
2015-05-03,55,False
2015-05-10,33,False
2015-05-17,37,False
2015-05-24,35,False
2015-05-31,40,False
2015-06-07,33,False
2015-06-14,38,False
2015-06-21,29,False
2015-06-28,38,False
2015-07-05,60,False
2015-07-12,49,False
2015-07-19,50,False
2015-07-26,37,False
2015-08-02,62,False
2015-08-09,66,False
2015-08-16,33,False
2015-08-23,75,False
2015-08-30,57,False
2015-09-06,82,False
2015-09-13,54,False
2015-09-20,52,False
2015-09-27,46,False
2015-10-04,57,False
2015-10-11,39,False
2015-10-18,36,False
2015-10-25,35,False
2015-11-01,42,False
2015-11-08,31,False
2015-11-15,33,False
2015-11-22,45,False
2015-11-29,48,False
2015-12-06,51,False
2015-12-13,48,False
2015-12-20,32,False
2015-12-27,25,False
2016-01-03,39,False
2016-01-10,38,False
2016-01-17,47,False
2016-01-24,34,False
2016-01-31,49,False
2016-02-07,51,False
2016-02-14,38,False
2016-02-21,44,False
2016-02-28,66,False
2016-03-06,47,False
2016-03-13,57,False
2016-03-20,39,False
2016-03-27,55,False
2016-04-03,42,False
2016-04-10,40,False
2016-04-17,53,False
2016-04-24,38,False
2016-05-01,88,False
2016-05-08,67,False
2016-05-15,48,False
2016-05-22,30,False
2016-05-29,39,False
2016-06-05,49,False
2016-06-12,40,False
2016-06-19,48,False
2016-06-26,55,False
2016-07-03,44,False
2016-07-10,50,False
2016-07-17,50,False
2016-07-24,46,False
2016-07-31,54,False
2016-08-07,66,False
2016-08-14,56,False
2016-08-21,39,False
2016-08-28,42,False
2016-09-04,35,False
2016-09-11,42,False
2016-09-18,39,False
2016-09-25,50,False
2016-10-02,24,False
2016-10-09,28,False
2016-10-16,40,False
2016-10-23,39,False
2016-10-30,32,False
2016-11-06,67,False
2016-11-13,28,False
2016-11-20,31,False
2016-11-27,29,False
2016-12-04,42,False
2016-12-11,39,False
2016-12-18,48,False
2016-12-25,32,False
2017-01-01,55,False
2017-01-08,44,False
2017-01-15,41,False
2017-01-22,42,False
2017-01-29,31,False
2017-02-05,31,False
2017-02-12,41,False
2017-02-19,32,False
2017-02-26,36,False
2017-03-05,29,False
2017-03-12,26,False
2017-03-19,39,False
2017-03-26,45,False
2017-04-02,24,False
2017-04-09,55,False
2017-04-16,51,False
2017-04-23,43,False
2017-04-30,32,False
2017-05-07,37,False
2017-05-14,27,False
2017-05-21,43,False
2017-05-28,27,False
2017-06-04,27,False
2017-06-11,25,False
2017-06-18,18,False
2017-06-25,28,False
