date,EURCAD,isPartial
2012-12-30,16,False
2013-01-06,44,False
2013-01-13,14,False
2013-01-20,29,False
2013-01-27,21,False
2013-02-03,28,False
2013-02-10,0,False
2013-02-17,14,False
2013-02-24,28,False
2013-03-03,0,False
2013-03-10,0,False
2013-03-17,21,False
2013-03-24,15,False
2013-03-31,28,False
2013-04-07,14,False
2013-04-14,14,False
2013-04-21,21,False
2013-04-28,21,False
2013-05-05,29,False
2013-05-12,21,False
2013-05-19,28,False
2013-05-26,14,False
2013-06-02,42,False
2013-06-09,28,False
2013-06-16,28,False
2013-06-23,35,False
2013-06-30,57,False
2013-07-07,43,False
2013-07-14,29,False
2013-07-21,21,False
2013-07-28,14,False
2013-08-04,43,False
2013-08-11,14,False
2013-08-18,35,False
2013-08-25,41,False
2013-09-01,34,False
2013-09-08,13,False
2013-09-15,27,False
2013-09-22,27,False
2013-09-29,13,False
2013-10-06,26,False
2013-10-13,13,False
2013-10-20,33,False
2013-10-27,46,False
2013-11-03,45,False
2013-11-10,33,False
2013-11-17,39,False
2013-11-24,26,False
2013-12-01,25,False
2013-12-08,26,False
2013-12-15,26,False
2013-12-22,29,False
2013-12-29,42,False
2014-01-05,19,False
2014-01-12,19,False
2014-01-19,43,False
2014-01-26,18,False
2014-02-02,32,False
2014-02-09,18,False
2014-02-16,30,False
2014-02-23,24,False
2014-03-02,12,False
2014-03-09,55,False
2014-03-16,79,False
2014-03-23,24,False
2014-03-30,61,False
2014-04-06,24,False
2014-04-13,32,False
2014-04-20,12,False
2014-04-27,18,False
2014-05-04,12,False
2014-05-11,24,False
2014-05-18,45,False
2014-05-25,27,False
2014-06-01,20,False
2014-06-08,34,False
2014-06-15,21,False
2014-06-22,27,False
2014-06-29,42,False
2014-07-06,27,False
2014-07-13,0,False
2014-07-20,28,False
2014-07-27,14,False
2014-08-03,36,False
2014-08-10,14,False
2014-08-17,34,False
2014-08-24,33,False
2014-08-31,20,False
2014-09-07,32,False
2014-09-14,26,False
2014-09-21,44,False
2014-09-28,45,False
2014-10-05,38,False
2014-10-12,25,False
2014-10-19,32,False
2014-10-26,19,False
2014-11-02,25,False
2014-11-09,37,False
2014-11-16,38,False
2014-11-23,25,False
2014-11-30,18,False
2014-12-07,37,False
2014-12-14,38,False
2014-12-21,14,False
2014-12-28,34,False
2015-01-04,54,False
