date,EURJPY,isPartial
2012-12-30,41,False
2013-01-06,75,False
2013-01-13,62,False
2013-01-20,37,False
2013-01-27,79,False
2013-02-03,66,False
2013-02-10,74,False
2013-02-17,24,False
2013-02-24,72,False
2013-03-03,48,False
2013-03-10,53,False
2013-03-17,35,False
2013-03-24,43,False
2013-03-31,54,False
2013-04-07,100,False
2013-04-14,42,False
2013-04-21,24,False
2013-04-28,61,False
2013-05-05,43,False
2013-05-12,53,False
2013-05-19,66,False
2013-05-26,12,False
2013-06-02,24,False
2013-06-09,41,False
2013-06-16,18,False
2013-06-23,18,False
2013-06-30,55,False
2013-07-07,25,False
2013-07-14,80,False
2013-07-21,24,False
2013-07-28,24,False
2013-08-04,55,False
2013-08-11,43,False
2013-08-18,30,False
2013-08-25,29,False
2013-09-01,29,False
2013-09-08,23,False
2013-09-15,57,False
2013-09-22,28,False
2013-09-29,39,False
2013-10-06,28,False
2013-10-13,34,False
2013-10-20,28,False
2013-10-27,28,False
2013-11-03,33,False
2013-11-10,27,False
2013-11-17,22,False
2013-11-24,33,False
2013-12-01,48,False
2013-12-08,76,False
2013-12-15,39,False
2013-12-22,31,False
2013-12-29,53,False
2014-01-05,32,False
2014-01-12,42,False
2014-01-19,31,False
2014-01-26,31,False
2014-02-02,39,False
2014-02-09,36,False
2014-02-16,26,False
2014-02-23,25,False
2014-03-02,42,False
2014-03-09,41,False
2014-03-16,31,False
2014-03-23,21,False
2014-03-30,46,False
2014-04-06,16,False
2014-04-13,44,False
2014-04-20,11,False
2014-04-27,21,False
2014-05-04,10,False
2014-05-11,36,False
2014-05-18,27,False
2014-05-25,40,False
2014-06-01,35,False
2014-06-08,52,False
2014-06-15,35,False
2014-06-22,29,False
2014-06-29,36,False
2014-07-06,12,False
2014-07-13,24,False
2014-07-20,41,False
2014-07-27,18,False
2014-08-03,43,False
2014-08-10,0,False
2014-08-17,23,False
2014-08-24,11,False
2014-08-31,6,False
2014-09-07,66,False
2014-09-14,33,False
2014-09-21,27,False
2014-09-28,11,False
2014-10-05,16,False
2014-10-12,48,False
2014-10-19,32,False
2014-10-26,59,False
2014-11-02,63,False
2014-11-09,21,False
2014-11-16,42,False
2014-11-23,21,False
2014-11-30,21,False
2014-12-07,16,False
2014-12-14,27,False
2014-12-21,35,False
2014-12-28,17,False
2015-01-04,36,False
2015-01-11,50,False
2015-01-18,40,False
2015-01-25,24,False
2015-02-01,15,False
2015-02-08,15,False
2015-02-15,30,False
2015-02-22,19,False
2015-03-01,25,False
2015-03-08,20,False
2015-03-15,39,False
2015-03-22,27,False
2015-03-29,35,False
2015-04-05,20,False
2015-04-12,5,False
2015-04-19,39,False
2015-04-26,20,False
2015-05-03,20,False
2015-05-10,10,False
2015-05-17,29,False
2015-05-24,20,False
2015-05-31,15,False
2015-06-07,24,False
2015-06-14,15,False
2015-06-21,45,False
2015-06-28,70,False
2015-07-05,30,False
2015-07-12,45,False
2015-07-19,10,False
2015-07-26,39,False
2015-08-02,15,False
2015-08-09,25,False
2015-08-16,34,False
2015-08-23,29,False
2015-08-30,28,False
2015-09-06,53,False
2015-09-13,14,False
2015-09-20,33,False
2015-09-27,23,False
2015-10-04,9,False
2015-10-11,41,False
2015-10-18,18,False
2015-10-25,18,False
2015-11-01,36,False
2015-11-08,23,False
2015-11-15,27,False
2015-11-22,23,False
2015-11-29,13,False
2015-12-06,27,False
2015-12-13,19,False
2015-12-20,31,False
2015-12-27,15,False
2016-01-03,14,False
2016-01-10,33,False
2016-01-17,29,False
2016-01-24,29,False
2016-01-31,24,False
2016-02-07,52,False
2016-02-14,42,False
2016-02-21,56,False
2016-02-28,46,False
2016-03-06,24,False
2016-03-13,24,False
2016-03-20,19,False
2016-03-27,33,False
2016-04-03,28,False
2016-04-10,24,False
2016-04-17,28,False
2016-04-24,43,False
2016-05-01,39,False
2016-05-08,38,False
2016-05-15,24,False
2016-05-22,14,False
2016-05-29,20,False
2016-06-05,34,False
2016-06-12,71,False
2016-06-19,49,False
2016-06-26,59,False
2016-07-03,26,False
2016-07-10,25,False
2016-07-17,31,False
2016-07-24,36,False
2016-07-31,16,False
2016-08-07,21,False
2016-08-14,22,False
2016-08-21,47,False
2016-08-28,40,False
2016-09-04,20,False
2016-09-11,15,False
2016-09-18,10,False
2016-09-25,29,False
2016-10-02,19,False
2016-10-09,19,False
2016-10-16,10,False
2016-10-23,34,False
2016-10-30,19,False
2016-11-06,42,False
2016-11-13,24,False
2016-11-20,23,False
2016-11-27,18,False
2016-12-04,13,False
2016-12-11,14,False
2016-12-18,19,False
2016-12-25,15,False
2017-01-01,14,False
2017-01-08,13,False
2017-01-15,18,False
2017-01-22,31,False
2017-01-29,22,False
2017-02-05,22,False
2017-02-12,17,False
2017-02-19,18,False
2017-02-26,21,False
2017-03-05,30,False
2017-03-12,34,False
2017-03-19,31,False
2017-03-26,13,False
2017-04-02,18,False
2017-04-09,36,False
2017-04-16,18,False
2017-04-23,39,False
2017-04-30,40,False
2017-05-07,53,False
2017-05-14,38,False
2017-05-21,24,False
2017-05-28,33,False
2017-06-04,23,False
2017-06-11,24,False
2017-06-18,32,False
2017-06-25,72,False
2017-07-02,68,False
2017-07-09,19,False
2017-07-16,29,False
2017-07-23,51,False
2017-07-30,27,False
2017-08-06,5,False
2017-08-13,19,False
2017-08-20,41,False
2017-08-27,46,False
2017-09-03,36,False
2017-09-10,26,False
2017-09-17,54,False
2017-09-24,18,False
2017-10-01,31,False
2017-10-08,26,False
2017-10-15,31,False
2017-10-22,48,False
2017-10-29,44,False
2017-11-05,35,False
