date,Bitcoin Cash,isPartial
2017-11-22,23,False
2017-11-23,35,False
2017-11-24,34,False
2017-11-25,26,False
2017-11-26,31,False
2017-11-27,37,False
2017-11-28,37,False
2017-11-29,49,False
2017-11-30,33,False
2017-12-01,27,False
2017-12-02,23,False
2017-12-03,27,False
2017-12-04,24,False
2017-12-05,27,False
2017-12-06,34,False
2017-12-07,53,False
2017-12-08,42,False
2017-12-09,33,False
2017-12-10,31,False
2017-12-11,38,False
2017-12-12,49,False
2017-12-13,36,False
2017-12-14,45,False
2017-12-15,31,False
2017-12-16,30,False
2017-12-17,36,False
2017-12-18,47,False
2017-12-19,100,False
