date,Golos,isPartial
2017-11-22,90,False
2017-11-23,41,False
2017-11-24,37,False
2017-11-25,66,False
2017-11-26,73,False
2017-11-27,56,False
2017-11-28,25,False
2017-11-29,22,False
2017-11-30,54,False
2017-12-01,42,False
2017-12-02,58,False
2017-12-03,49,False
2017-12-04,28,False
2017-12-05,36,False
2017-12-06,55,False
2017-12-07,70,False
2017-12-08,65,False
2017-12-09,100,False
2017-12-10,86,False
2017-12-11,89,False
2017-12-12,43,False
2017-12-13,43,False
2017-12-14,78,False
2017-12-15,53,False
2017-12-16,68,False
2017-12-17,46,False
2017-12-18,77,False
2017-12-19,29,False
