date,Groestlcoin,isPartial
2017-11-22,16,False
2017-11-23,13,False
2017-11-24,17,False
2017-11-25,23,False
2017-11-26,23,False
2017-11-27,20,False
2017-11-28,28,False
2017-11-29,24,False
2017-11-30,16,False
2017-12-01,51,False
2017-12-02,37,False
2017-12-03,60,False
2017-12-04,100,False
2017-12-05,48,False
2017-12-06,24,False
2017-12-07,65,False
2017-12-08,47,False
2017-12-09,52,False
2017-12-10,32,False
2017-12-11,24,False
2017-12-12,32,False
2017-12-13,36,False
2017-12-14,41,False
2017-12-15,34,False
2017-12-16,14,False
2017-12-17,28,False
2017-12-18,49,False
2017-12-19,74,False
2017-12-20,85,False
