date,Qtum,isPartial
2017-11-22,5,False
2017-11-23,5,False
2017-11-24,5,False
2017-11-25,3,False
2017-11-26,4,False
2017-11-27,4,False
2017-11-28,7,False
2017-11-29,4,False
2017-11-30,4,False
2017-12-01,4,False
2017-12-02,3,False
2017-12-03,4,False
2017-12-04,4,False
2017-12-05,6,False
2017-12-06,7,False
2017-12-07,8,False
2017-12-08,4,False
2017-12-09,8,False
2017-12-10,4,False
2017-12-11,4,False
2017-12-12,8,False
2017-12-13,12,False
2017-12-14,7,False
2017-12-15,25,False
2017-12-16,35,False
2017-12-17,16,False
2017-12-18,62,False
2017-12-19,100,False
