date,Stellar Lumens,isPartial
2017-11-22,7,False
2017-11-23,10,False
2017-11-24,7,False
2017-11-25,13,False
2017-11-26,14,False
2017-11-27,18,False
2017-11-28,38,False
2017-11-29,53,False
2017-11-30,28,False
2017-12-01,29,False
2017-12-02,36,False
2017-12-03,34,False
2017-12-04,28,False
2017-12-05,48,False
2017-12-06,100,False
2017-12-07,91,False
2017-12-08,64,False
2017-12-09,51,False
2017-12-10,38,False
2017-12-11,47,False
2017-12-12,57,False
2017-12-13,51,False
2017-12-14,51,False
2017-12-15,73,False
2017-12-16,70,False
2017-12-17,96,False
2017-12-18,80,False
2017-12-19,78,False
2017-12-20,53,False
