date,Bitcoin,isPartial
2017-11-22,18,False
2017-11-23,17,False
2017-11-24,16,False
2017-11-25,17,False
2017-11-26,25,False
2017-11-27,35,False
2017-11-28,40,False
2017-11-29,65,False
2017-11-30,53,False
2017-12-01,39,False
2017-12-02,31,False
2017-12-03,32,False
2017-12-04,35,False
2017-12-05,38,False
2017-12-06,50,False
2017-12-07,100,False
2017-12-08,91,False
2017-12-09,59,False
2017-12-10,56,False
2017-12-11,65,False
2017-12-12,61,False
2017-12-13,56,False
2017-12-14,50,False
2017-12-15,45,False
2017-12-16,44,False
2017-12-17,50,False
2017-12-18,50,False
2017-12-19,51,False
