date,Waves,isPartial
2017-11-22,78,False
2017-11-23,75,False
2017-11-24,75,False
2017-11-25,80,False
2017-11-26,84,False
2017-11-27,95,False
2017-11-28,92,False
2017-11-29,99,False
2017-11-30,95,False
2017-12-01,94,False
2017-12-02,76,False
2017-12-03,83,False
2017-12-04,97,False
2017-12-05,99,False
2017-12-06,94,False
2017-12-07,97,False
2017-12-08,97,False
2017-12-09,82,False
2017-12-10,83,False
2017-12-11,97,False
2017-12-12,100,False
2017-12-13,99,False
2017-12-14,98,False
2017-12-15,92,False
2017-12-16,78,False
2017-12-17,80,False
2017-12-18,88,False
2017-12-19,82,False
2017-12-20,83,False
