name,color
USD,#FF00FF
GBP,#0000FF
CAD,#6495ED
EUR,#F4A460
JPY,#8E8E38
TST,#C6E2FF
SEK,#D8BFD8
AUD,#97FFFF
CHF,#00EEEE
