This file was downloaded on February 17 2018 6:21:41 PM UTC-08:00
Keywords,scotch
Date Range,2015-04-15 - 2018-02-14
Buyer Country: ,AU
Category: ,Alcohol & Food
Listing Format: ,FixedPrice,StoresFixedPrice
Seller Country: ,AU
Site: ,ebay.com.au

Date,Items Sold,Average Selling Price,Total Sales
2015-08-24,7,42.05 USD,294.34 USD
2015-08-25,2,59.17 USD,118.34 USD
2015-08-26,5,156.20 USD,780.98 USD
2015-08-27,1,99.47 USD,99.47 USD
2015-08-28,3,100.72 USD,302.17 USD
2015-08-29,2,98.34 USD,196.67 USD
2015-08-30,9,138.10 USD,1242.94 USD
2015-08-31,5,85.82 USD,429.09 USD
2015-09-01,4,88.17 USD,352.68 USD
2015-09-02,2,93.22 USD,186.43 USD
2015-09-03,4,99.48 USD,397.90 USD
2015-09-04,1,98.36 USD,98.36 USD
2015-09-05,11,98.07 USD,1078.73 USD
2015-09-06,2,29.26 USD,58.51 USD
2015-09-07,8,62.11 USD,496.91 USD
2015-09-08,0,0.00 USD,0.00 USD
2015-09-09,1,94.52 USD,94.52 USD
2015-09-10,3,456.51 USD,1369.53 USD
2015-09-11,8,137.14 USD,1097.08 USD
2015-09-12,2,180.00 USD,360.00 USD
2015-09-13,4,133.77 USD,535.09 USD
2015-09-14,0,0.00 USD,0.00 USD
2015-09-15,0,0.00 USD,0.00 USD
2015-09-16,0,0.00 USD,0.00 USD
2015-09-17,0,0.00 USD,0.00 USD
2015-09-18,0,0.00 USD,0.00 USD
2015-09-19,0,0.00 USD,0.00 USD
2015-09-20,0,0.00 USD,0.00 USD
2015-09-21,0,0.00 USD,0.00 USD
2015-09-22,0,0.00 USD,0.00 USD
2015-09-23,0,0.00 USD,0.00 USD
2015-09-24,0,0.00 USD,0.00 USD
2015-09-25,0,0.00 USD,0.00 USD
2015-09-26,0,0.00 USD,0.00 USD
2015-09-27,0,0.00 USD,0.00 USD
2015-09-28,0,0.00 USD,0.00 USD
2015-09-29,0,0.00 USD,0.00 USD
2015-09-30,0,0.00 USD,0.00 USD
2015-10-01,0,0.00 USD,0.00 USD
2015-10-02,0,0.00 USD,0.00 USD
2015-10-03,0,0.00 USD,0.00 USD
2015-10-04,0,0.00 USD,0.00 USD
2015-10-05,0,0.00 USD,0.00 USD
2015-10-06,0,0.00 USD,0.00 USD
2015-10-07,0,0.00 USD,0.00 USD
2015-10-08,0,0.00 USD,0.00 USD
2015-10-09,2,121.89 USD,243.78 USD
2015-10-10,2,67.50 USD,134.99 USD
2015-10-11,5,194.94 USD,974.70 USD
2015-10-12,1,293.47 USD,293.47 USD
2015-10-13,3,89.42 USD,268.25 USD
2015-10-14,4,167.87 USD,671.48 USD
2015-10-15,1,90.76 USD,90.76 USD
2015-10-16,1,29.27 USD,29.27 USD
2015-10-17,2,90.83 USD,181.66 USD
2015-10-18,4,200.73 USD,802.93 USD
2015-10-19,3,55.46 USD,166.38 USD
2015-10-20,4,162.87 USD,651.48 USD
2015-10-21,2,90.43 USD,180.86 USD
2015-10-22,6,65.59 USD,393.54 USD
2015-10-23,2,62.46 USD,124.92 USD
2015-10-24,4,153.20 USD,612.81 USD
2015-10-25,2,101.17 USD,202.33 USD
2015-10-26,2,104.04 USD,208.08 USD
2015-10-27,3,75.98 USD,227.94 USD
2015-10-28,1,99.77 USD,99.77 USD
2015-10-29,4,126.40 USD,505.60 USD
2015-10-30,1,162.83 USD,162.83 USD
2015-10-31,4,81.14 USD,324.56 USD
2015-11-01,3,72.05 USD,216.16 USD
2015-11-02,4,318.38 USD,1273.50 USD
