date,bitcoin,HEAT,isPartial
2014-11-02,2,16,False
2014-11-09,3,16,False
2014-11-16,2,16,False
2014-11-23,2,14,False
2014-11-30,2,14,False
2014-12-07,3,14,False
2014-12-14,3,13,False
2014-12-21,3,14,False
2014-12-28,2,14,False
2015-01-04,3,15,False
2015-01-11,3,14,False
2015-01-18,3,14,False
2015-01-25,3,14,False
2015-02-01,2,14,False
2015-02-08,3,14,False
2015-02-15,3,15,False
2015-02-22,2,15,False
2015-03-01,3,14,False
2015-03-08,3,13,False
2015-03-15,2,13,False
2015-03-22,2,13,False
2015-03-29,2,13,False
2015-04-05,2,14,False
2015-04-12,2,13,False
2015-04-19,2,13,False
2015-04-26,2,12,False
2015-05-03,2,12,False
2015-05-10,2,12,False
2015-05-17,2,12,False
2015-05-24,2,13,False
2015-05-31,2,13,False
2015-06-07,2,13,False
2015-06-14,2,13,False
2015-06-21,2,14,False
2015-06-28,3,15,False
2015-07-05,3,14,False
2015-07-12,2,14,False
2015-07-19,2,14,False
2015-07-26,2,14,False
2015-08-02,2,13,False
2015-08-09,2,13,False
2015-08-16,3,12,False
2015-08-23,2,12,False
2015-08-30,2,12,False
2015-09-06,2,12,False
2015-09-13,2,12,False
2015-09-20,2,12,False
2015-09-27,2,12,False
2015-10-04,2,13,False
2015-10-11,2,13,False
2015-10-18,2,13,False
2015-10-25,3,14,False
2015-11-01,4,14,False
2015-11-08,3,14,False
2015-11-15,3,14,False
2015-11-22,3,14,False
2015-11-29,3,15,False
2015-12-06,4,15,False
2015-12-13,3,14,False
2015-12-20,3,13,False
2015-12-27,3,13,False
2016-01-03,3,15,False
2016-01-10,3,14,False
2016-01-17,3,15,False
2016-01-24,3,14,False
2016-01-31,2,14,False
2016-02-07,3,14,False
2016-02-14,3,14,False
2016-02-21,3,15,False
2016-02-28,3,14,False
2016-03-06,3,14,False
2016-03-13,2,13,False
2016-03-20,2,14,False
2016-03-27,2,13,False
2016-04-03,2,14,False
2016-04-10,2,14,False
2016-04-17,3,15,False
2016-04-24,3,16,False
2016-05-01,4,19,False
2016-05-08,3,20,False
2016-05-15,3,16,False
2016-05-22,3,13,False
2016-05-29,4,13,False
2016-06-05,3,13,False
2016-06-12,5,13,False
2016-06-19,5,15,False
2016-06-26,4,14,False
2016-07-03,4,16,False
2016-07-10,3,14,False
2016-07-17,3,16,False
2016-07-24,3,15,False
2016-07-31,4,13,False
2016-08-07,3,13,False
2016-08-14,3,12,False
2016-08-21,3,12,False
2016-08-28,3,11,False
2016-09-04,3,12,False
2016-09-11,3,12,False
2016-09-18,3,12,False
2016-09-25,3,12,False
2016-10-02,3,12,False
2016-10-09,3,13,False
2016-10-16,3,13,False
2016-10-23,3,14,False
2016-10-30,4,13,False
2016-11-06,4,14,False
2016-11-13,4,14,False
2016-11-20,4,14,False
2016-11-27,4,15,False
2016-12-04,4,16,False
2016-12-11,3,15,False
2016-12-18,4,14,False
2016-12-25,5,13,False
2017-01-01,8,14,False
2017-01-08,6,15,False
2017-01-15,5,14,False
2017-01-22,4,14,False
2017-01-29,5,14,False
2017-02-05,5,15,False
2017-02-12,5,14,False
2017-02-19,6,13,False
2017-02-26,7,14,False
2017-03-05,7,14,False
2017-03-12,6,14,False
2017-03-19,6,14,False
2017-03-26,5,14,False
2017-04-02,5,14,False
2017-04-09,5,15,False
2017-04-16,5,13,False
2017-04-23,5,13,False
2017-04-30,8,13,False
2017-05-07,10,13,False
2017-05-14,12,13,False
2017-05-21,21,13,False
2017-05-28,14,13,False
2017-06-04,13,14,False
2017-06-11,15,16,False
2017-06-18,12,18,False
2017-06-25,12,14,False
2017-07-02,10,15,False
2017-07-09,11,15,False
2017-07-16,13,15,False
2017-07-23,12,14,False
2017-07-30,17,14,False
2017-08-06,16,13,False
2017-08-13,22,12,False
2017-08-20,18,12,False
2017-08-27,19,13,False
2017-09-03,20,12,False
2017-09-10,23,12,False
2017-09-17,17,13,False
2017-09-24,14,13,False
2017-10-01,14,13,False
2017-10-08,21,13,False
2017-10-15,22,14,False
2017-10-22,23,15,False
2017-10-29,31,15,False
2017-11-05,32,16,False
2017-11-12,34,15,False
2017-11-19,30,15,False
2017-11-26,72,15,False
2017-12-03,100,16,False
2017-12-10,98,16,True
