date,bitcoin,HEAT,isPartial
2012-12-16,0,13,False
2012-12-23,0,14,False
2012-12-30,1,14,False
2013-01-06,1,14,False
2013-01-13,1,15,False
2013-01-20,1,15,False
2013-01-27,1,15,False
2013-02-03,1,14,False
2013-02-10,1,15,False
2013-02-17,1,14,False
2013-02-24,1,17,False
2013-03-03,1,18,False
2013-03-10,2,16,False
2013-03-17,2,20,False
2013-03-24,4,20,False
2013-03-31,6,16,False
2013-04-07,12,15,False
2013-04-14,6,15,False
2013-04-21,4,17,False
2013-04-28,3,15,False
2013-05-05,3,22,False
2013-05-12,3,19,False
2013-05-19,2,21,False
2013-05-26,2,27,False
2013-06-02,2,37,False
2013-06-09,2,35,False
2013-06-16,2,52,False
2013-06-23,2,22,False
2013-06-30,2,21,False
2013-07-07,2,19,False
2013-07-14,1,22,False
2013-07-21,2,16,False
2013-07-28,2,15,False
2013-08-04,2,15,False
2013-08-11,2,14,False
2013-08-18,2,13,False
2013-08-25,2,13,False
2013-09-01,1,13,False
2013-09-08,1,13,False
2013-09-15,1,13,False
2013-09-22,1,13,False
2013-09-29,3,14,False
2013-10-06,2,16,False
2013-10-13,2,16,False
2013-10-20,2,16,False
2013-10-27,5,20,False
2013-11-03,5,17,False
2013-11-10,6,18,False
2013-11-17,13,16,False
2013-11-24,15,17,False
2013-12-01,15,17,False
2013-12-08,11,17,False
2013-12-15,11,16,False
2013-12-22,7,16,False
2013-12-29,6,17,False
2014-01-05,7,19,False
2014-01-12,7,16,False
2014-01-19,7,17,False
2014-01-26,7,18,False
2014-02-02,6,16,False
2014-02-09,8,15,False
2014-02-16,7,16,False
2014-02-23,11,16,False
2014-03-02,9,16,False
2014-03-09,5,15,False
2014-03-16,4,15,False
2014-03-23,5,16,False
2014-03-30,4,15,False
2014-04-06,4,16,False
2014-04-13,3,15,False
2014-04-20,3,18,False
2014-04-27,3,17,False
2014-05-04,3,18,False
2014-05-11,3,21,False
2014-05-18,3,23,False
2014-05-25,3,28,False
2014-06-01,3,23,False
2014-06-08,3,36,False
2014-06-15,3,24,False
2014-06-22,2,15,False
2014-06-29,3,15,False
2014-07-06,2,17,False
2014-07-13,3,16,False
2014-07-20,2,14,False
2014-07-27,2,14,False
2014-08-03,2,12,False
2014-08-10,3,12,False
2014-08-17,3,12,False
2014-08-24,2,12,False
2014-08-31,3,12,False
2014-09-07,3,12,False
2014-09-14,3,12,False
2014-09-21,3,12,False
2014-09-28,3,12,False
2014-10-05,3,14,False
2014-10-12,3,13,False
2014-10-19,2,14,False
2014-10-26,2,15,False
