date,bitcoin,XP,isPartial
2012-12-16,0,37,False
2012-12-23,0,39,False
2012-12-30,1,37,False
2013-01-06,1,37,False
2013-01-13,1,37,False
2013-01-20,1,37,False
2013-01-27,1,37,False
2013-02-03,1,36,False
2013-02-10,1,34,False
2013-02-17,1,36,False
2013-02-24,1,35,False
2013-03-03,1,35,False
2013-03-10,2,34,False
2013-03-17,2,35,False
2013-03-24,4,35,False
2013-03-31,6,33,False
2013-04-07,12,34,False
2013-04-14,6,32,False
2013-04-21,4,32,False
2013-04-28,3,31,False
2013-05-05,3,31,False
2013-05-12,3,31,False
2013-05-19,2,30,False
2013-05-26,2,30,False
2013-06-02,2,29,False
2013-06-09,2,29,False
2013-06-16,2,29,False
2013-06-23,2,30,False
2013-06-30,2,30,False
2013-07-07,2,30,False
2013-07-14,1,30,False
2013-07-21,1,30,False
2013-07-28,2,30,False
2013-08-04,2,29,False
2013-08-11,2,30,False
2013-08-18,2,31,False
2013-08-25,2,30,False
2013-09-01,1,30,False
2013-09-08,1,30,False
2013-09-15,1,30,False
2013-09-22,1,29,False
2013-09-29,3,29,False
2013-10-06,2,31,False
2013-10-13,2,30,False
2013-10-20,2,30,False
2013-10-27,5,30,False
2013-11-03,5,29,False
2013-11-10,6,30,False
2013-11-17,13,30,False
2013-11-24,15,28,False
2013-12-01,15,27,False
2013-12-08,11,29,False
2013-12-15,11,29,False
2013-12-22,7,30,False
2013-12-29,6,29,False
2014-01-05,7,29,False
2014-01-12,7,29,False
2014-01-19,7,30,False
2014-01-26,7,29,False
2014-02-02,6,28,False
2014-02-09,8,28,False
2014-02-16,7,28,False
2014-02-23,11,27,False
2014-03-02,9,27,False
2014-03-09,5,28,False
2014-03-16,4,27,False
2014-03-23,4,28,False
2014-03-30,4,30,False
2014-04-06,4,36,False
2014-04-13,3,28,False
2014-04-20,3,25,False
2014-04-27,3,24,False
2014-05-04,3,23,False
2014-05-11,3,22,False
2014-05-18,3,22,False
2014-05-25,3,22,False
2014-06-01,3,22,False
2014-06-08,3,21,False
2014-06-15,3,21,False
2014-06-22,2,21,False
2014-06-29,3,21,False
2014-07-06,2,21,False
2014-07-13,3,21,False
2014-07-20,2,21,False
2014-07-27,2,21,False
2014-08-03,2,22,False
