date,bitcoin,VIVO,isPartial
2012-12-16,0,38,False
2012-12-23,0,30,False
2012-12-30,1,32,False
2013-01-06,1,37,False
2013-01-13,1,41,False
2013-01-20,1,43,False
2013-01-27,1,46,False
2013-02-03,1,46,False
2013-02-10,1,41,False
2013-02-17,1,41,False
2013-02-24,1,49,False
2013-03-03,1,47,False
2013-03-10,2,51,False
2013-03-17,2,47,False
2013-03-24,4,41,False
2013-03-31,6,44,False
2013-04-07,12,43,False
2013-04-14,6,46,False
2013-04-21,4,48,False
2013-04-28,3,49,False
2013-05-05,3,42,False
2013-05-12,3,46,False
2013-05-19,2,43,False
2013-05-26,2,44,False
2013-06-02,2,44,False
2013-06-09,2,45,False
2013-06-16,2,48,False
2013-06-23,2,45,False
2013-06-30,2,42,False
2013-07-07,2,42,False
2013-07-14,1,41,False
2013-07-21,1,42,False
2013-07-28,2,46,False
2013-08-04,2,44,False
2013-08-11,2,45,False
2013-08-18,2,43,False
2013-08-25,2,45,False
2013-09-01,1,47,False
2013-09-08,1,48,False
2013-09-15,1,48,False
2013-09-22,1,43,False
2013-09-29,3,43,False
2013-10-06,2,46,False
2013-10-13,2,44,False
2013-10-20,2,46,False
2013-10-27,5,43,False
2013-11-03,5,45,False
2013-11-10,6,46,False
2013-11-17,13,41,False
2013-11-24,15,40,False
2013-12-01,15,42,False
2013-12-08,11,41,False
2013-12-15,11,37,False
2013-12-22,7,31,False
2013-12-29,6,36,False
2014-01-05,7,34,False
2014-01-12,7,38,False
2014-01-19,7,39,False
2014-01-26,7,41,False
2014-02-02,6,42,False
2014-02-09,8,41,False
2014-02-16,7,46,False
2014-02-23,11,42,False
2014-03-02,9,42,False
2014-03-09,5,43,False
2014-03-16,4,42,False
2014-03-23,4,47,False
2014-03-30,4,45,False
2014-04-06,4,45,False
2014-04-13,3,48,False
2014-04-20,3,44,False
2014-04-27,3,46,False
2014-05-04,3,43,False
2014-05-11,3,43,False
2014-05-18,3,46,False
2014-05-25,3,44,False
2014-06-01,3,44,False
2014-06-08,3,82,False
2014-06-15,3,79,False
2014-06-22,2,63,False
2014-06-29,3,64,False
2014-07-06,2,54,False
2014-07-13,3,44,False
2014-07-20,2,39,False
2014-07-27,2,41,False
2014-08-03,2,38,False
2014-08-10,3,43,False
2014-08-17,3,45,False
2014-08-24,2,43,False
2014-08-31,3,44,False
2014-09-07,3,42,False
2014-09-14,3,47,False
2014-09-21,3,43,False
2014-09-28,3,43,False
2014-10-05,3,43,False
2014-10-12,2,40,False
2014-10-19,2,49,False
2014-10-26,2,41,False
2014-11-02,2,41,False
2014-11-09,3,42,False
2014-11-16,2,43,False
2014-11-23,2,43,False
2014-11-30,2,39,False
2014-12-07,3,38,False
2014-12-14,3,38,False
2014-12-21,3,30,False
2014-12-28,2,29,False
2015-01-04,3,35,False
2015-01-11,3,38,False
2015-01-18,3,41,False
2015-01-25,3,43,False
2015-02-01,2,48,False
2015-02-08,3,42,False
2015-02-15,3,42,False
2015-02-22,2,44,False
2015-03-01,2,41,False
2015-03-08,3,44,False
2015-03-15,2,43,False
2015-03-22,2,51,False
2015-03-29,2,40,False
2015-04-05,2,45,False
2015-04-12,2,44,False
2015-04-19,2,44,False
2015-04-26,2,44,False
2015-05-03,2,54,False
2015-05-10,2,51,False
2015-05-17,2,41,False
2015-05-24,2,44,False
2015-05-31,2,46,False
2015-06-07,2,41,False
2015-06-14,2,49,False
2015-06-21,2,44,False
2015-06-28,3,46,False
2015-07-05,3,41,False
2015-07-12,2,43,False
2015-07-19,2,43,False
2015-07-26,2,40,False
2015-08-02,2,42,False
2015-08-09,2,44,False
2015-08-16,3,40,False
2015-08-23,2,45,False
2015-08-30,2,42,False
2015-09-06,2,43,False
2015-09-13,2,45,False
2015-09-20,2,44,False
2015-09-27,2,46,False
2015-10-04,2,43,False
2015-10-11,2,42,False
2015-10-18,2,46,False
2015-10-25,3,44,False
2015-11-01,4,41,False
2015-11-08,3,45,False
2015-11-15,3,51,False
2015-11-22,3,43,False
2015-11-29,3,39,False
2015-12-06,4,41,False
2015-12-13,3,41,False
2015-12-20,3,32,False
2015-12-27,3,31,False
2016-01-03,3,34,False
2016-01-10,3,35,False
2016-01-17,3,35,False
2016-01-24,3,40,False
2016-01-31,2,39,False
2016-02-07,3,41,False
2016-02-14,3,45,False
2016-02-21,3,46,False
2016-02-28,3,45,False
2016-03-06,3,45,False
