"date","open","high","low","close","volume","oi"
04/18/2001,3258.70,3282.40,3258.70,3278.20,,0.006
04/19/2001,3278.20,3333.70,3278.20,3324.20,,0.014
04/20/2001,3324.20,3326.50,3302.00,3303.50,,-0.0062
04/23/2001,3303.50,3308.00,3289.20,3300.60,,-0.0009
04/24/2001,3300.60,3305.40,3286.30,3301.00,,0.0001
04/26/2001,3301.00,3312.70,3298.20,3312.00,,0.0033
04/27/2001,3312.00,3312.70,3293.70,3293.90,,-0.0055
04/30/2001,3293.90,3329.40,3293.90,3329.40,,0.0108
05/01/2001,3329.40,3334.40,3324.90,3328.70,,-0.0002
05/02/2001,3328.70,3357.40,3328.70,3330.60,,0.0006
05/03/2001,3330.60,3353.60,3322.10,3350.00,,0.0058
05/04/2001,3350.00,3350.00,3327.30,3340.50,,-0.0028
05/07/2001,3340.50,3360.20,3340.50,3354.80,,0.0043
05/08/2001,3354.80,3357.00,3338.20,3338.90,,-0.0047
05/09/2001,3338.90,3348.80,3327.90,3346.10,,0.0022
05/10/2001,3346.10,3386.70,3345.30,3386.50,,0.0121
05/11/2001,3386.50,3392.10,3375.00,3389.00,,0.0007
05/14/2001,3389.00,3390.40,3358.20,3382.20,,-0.002
05/15/2001,3382.20,3390.20,3368.00,3390.20,,0.0024
05/16/2001,3390.20,3392.30,3372.50,3380.10,,-0.003
05/17/2001,3380.10,3423.60,3380.10,3410.00,,0.0088
05/18/2001,3410.00,3422.40,3398.50,3404.10,,-0.0017
05/21/2001,3404.10,3441.00,3404.10,3435.30,,0.0092
05/22/2001,3435.30,3443.00,3430.80,3436.50,,0.0003
05/23/2001,3436.50,3444.30,3419.20,3426.70,,-0.0029
05/24/2001,3426.70,3426.70,3407.50,3416.00,,-0.0031
05/25/2001,3416.00,3431.60,3413.20,3426.10,,0.003
05/28/2001,3426.10,3429.00,3409.60,3420.10,,-0.0018
05/29/2001,3420.10,3423.90,3403.90,3411.10,,-0.0026
05/30/2001,3411.10,3411.10,3396.40,3399.80,,-0.0033
05/31/2001,3401.50,3401.50,3375.20,3379.10,,-0.0061
06/01/2001,3379.10,3401.20,3378.10,3391.50,,0.0037
06/04/2001,3391.50,3427.40,3390.40,3426.70,,0.0104
06/05/2001,3426.70,3436.10,3410.80,3422.20,,-0.0013
06/06/2001,3422.20,3442.00,3419.90,3423.30,,0.0003
06/07/2001,3423.30,3436.60,3402.70,3436.60,,0.0039
06/08/2001,3436.60,3437.40,3421.00,3434.40,,-0.0006
06/12/2001,3434.40,3434.40,3392.10,3401.80,,-0.0095
06/13/2001,3401.80,3401.80,3379.10,3389.60,,-0.0036
06/14/2001,3389.60,3412.00,3379.90,3410.29,,0.0061
06/15/2001,3411.90,3415.70,3387.80,3415.70,,0.0016
06/18/2001,3415.70,3415.70,3385.00,3385.00,,-0.009
06/19/2001,3385.00,3403.30,3385.00,3385.40,,0.0001
06/20/2001,3385.40,3419.80,3385.40,3412.82,,0.0081
06/21/2001,3412.90,3426.40,3405.70,3410.50,,-0.0007
06/22/2001,3410.80,3434.20,3407.40,3428.30,,0.0052
06/25/2001,3428.30,3428.30,3409.00,3418.70,,-0.0028
06/26/2001,3418.70,3434.20,3409.50,3434.20,,0.0045
06/27/2001,3434.20,3434.20,3408.60,3409.80,,-0.0071
06/28/2001,3409.80,3428.10,3409.80,3420.50,,0.0031
06/29/2001,3420.50,3490.30,3420.50,3490.30,,0.0204
07/02/2001,3490.30,3490.30,3429.80,3438.40,,-0.0149
07/03/2001,3438.40,3457.20,3438.40,3450.00,,0.0034
07/04/2001,3450.00,3452.40,3420.60,3429.70,,-0.0059
07/05/2001,3429.70,3429.70,3374.10,3377.80,,-0.0151
07/06/2001,3377.80,3377.80,3345.20,3353.90,,-0.0071
07/09/2001,3353.90,3353.90,3317.40,3342.00,,-0.0035
07/10/2001,3342.00,3358.70,3331.40,3356.70,,0.0044
07/11/2001,3356.70,3383.70,3349.10,3378.00,,0.0063
07/12/2001,3378.00,3394.70,3369.00,3392.60,,0.0043
07/13/2001,3392.60,3410.20,3392.60,3396.50,,0.0011
07/16/2001,3396.50,3423.10,3396.50,3421.20,,0.0073
07/17/2001,3421.20,3421.20,3401.70,3402.70,,-0.0054
07/18/2001,3402.70,3418.60,3393.90,3393.90,,-0.0026
07/19/2001,3393.90,3400.50,3389.00,3394.40,,0.0001
07/20/2001,3394.40,3394.80,3380.60,3380.70,,-0.004
07/23/2001,3380.70,3389.20,3369.70,3373.00,,-0.0023
07/24/2001,3373.00,3373.10,3347.90,3352.60,,-0.006
07/25/2001,3352.60,3352.60,3314.00,3319.20,,-0.01
07/26/2001,3319.20,3320.10,3283.40,3283.40,,-0.0108
07/27/2001,3283.40,3306.10,3283.40,3292.00,,0.0026
07/30/2001,3292.00,3321.10,3292.00,3316.60,,0.0075
07/31/2001,3316.60,3329.70,3311.20,3324.50,,0.0024
08/01/2001,3324.50,3374.50,3324.50,3374.50,,0.015
08/02/2001,3374.50,3418.90,3374.50,3404.10,,0.0088
08/03/2001,3404.10,3410.20,3386.80,3405.10,,0.0003
08/06/2001,3405.10,3411.20,3384.00,3406.70,,0.0005
08/07/2001,3406.70,3407.00,3387.20,3407.00,,0.0001
08/08/2001,3407.00,3419.70,3392.60,3402.60,,-0.0013
08/09/2001,3402.60,3424.80,3381.30,3416.80,,0.0042
08/10/2001,3416.80,3416.80,3401.30,3401.30,,-0.0045
08/13/2001,3401.30,3406.60,3383.50,3383.90,,-0.0051
08/14/2001,3383.90,3388.10,3371.90,3371.90,,-0.0035
08/15/2001,3371.90,3388.60,3361.90,3364.30,,-0.0023
08/16/2001,3364.30,3364.30,3327.70,3328.60,,-0.0106
08/17/2001,3328.60,3340.10,3325.70,3330.40,,0.0005
08/20/2001,3330.40,3330.40,3281.10,3290.50,,-0.012
08/21/2001,3290.50,3319.00,3290.10,3319.00,,0.0087
08/22/2001,3319.00,3319.00,3287.90,3311.00,,-0.0024
08/23/2001,3311.00,3324.50,3310.10,3320.70,,0.0029
08/24/2001,3320.70,3351.00,3320.70,3348.00,,0.0082
08/27/2001,3348.00,3381.40,3346.60,3369.30,,0.0064
08/28/2001,3369.30,3378.60,3357.40,3372.10,,0.0008
08/29/2001,3372.10,3372.10,3349.20,3349.20,,-0.0068
08/30/2001,3349.20,3349.20,3316.20,3323.90,,-0.0076
08/31/2001,3323.90,3323.90,3275.60,3275.60,,-0.0145
09/03/2001,3275.60,3276.80,3254.70,3272.30,,-0.001
09/04/2001,3272.30,3286.40,3264.10,3286.40,,0.0043
09/05/2001,3286.40,3295.00,3264.20,3288.30,,0.0006
09/06/2001,3288.30,3288.30,3257.00,3264.30,,-0.0073
09/07/2001,3264.30,3264.30,3220.00,3234.30,,-0.0092
09/10/2001,3234.30,3244.80,3200.50,3242.60,,0.0026
09/11/2001,3242.60,3256.60,3240.90,3242.00,,-0.0002
09/12/2001,3242.00,3242.00,3090.20,3108.50,,-0.0412
09/13/2001,3108.50,3170.10,3108.50,3126.40,,0.0058
09/14/2001,3126.40,3130.50,3074.00,3100.80,,-0.0082
09/17/2001,3100.80,3100.80,2942.00,2955.30,,-0.0469
09/18/2001,2955.30,3044.00,2955.30,3010.10,,0.0185
09/19/2001,3010.10,3034.90,2986.70,3034.90,,0.0082
09/20/2001,3034.90,3034.90,2960.70,2983.00,,-0.0171
09/21/2001,2983.30,2983.30,2897.20,2941.90,,-0.0138
09/24/2001,2941.90,2941.90,2882.80,2924.60,,-0.0059
09/25/2001,2924.60,2976.30,2924.60,2962.70,,0.013
09/26/2001,2962.70,2997.00,2960.70,2991.00,,0.0096
09/27/2001,2991.00,3007.60,2974.40,3000.70,,0.0032
09/28/2001,3000.70,3062.40,3000.70,3049.50,,0.0163
10/01/2001,3049.50,3098.90,3049.50,3098.90,,0.0162
10/02/2001,3098.90,3140.80,3077.60,3140.80,,0.0135
10/03/2001,3140.80,3161.20,3117.50,3126.20,,-0.0046
10/04/2001,3126.20,3150.50,3117.30,3130.90,,0.0015
10/05/2001,3130.90,3179.70,3129.60,3179.10,,0.0154
