,row_count,id,title,link,make,model,series,transmission,price,milage,age,age_rating,milage_rating,price_rating,sum_rating,market_price,price_difference
86,34,SSE-AD-5675752,2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/SSE-AD-5675752/?Cr=112,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,28989.0,59682.0,7,-0.7007772945442833,-0.27353986280952036,0.6328048328475638,0.6505574783793673,34282,5293
117,35,OAG-AD-17391184,2016 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/OAG-AD-17391184/?Cr=141,Mercedes-Benz,C200,,Auto,49990.0,16317.0,3,0.37389715076324376,0.777320226997296,-0.427648099995247,0.6455933047720948,53473,3483
90,36,SSE-AD-5368725,2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/SSE-AD-5368725/?Cr=116,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,26000.0,69500.0,7,-0.7007772945442833,-0.5114585613388256,0.7837354464501143,0.6275119221284085,31233,5233
38,37,SSE-AD-6047368,2014 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2014/SSE-AD-6047368/?Cr=35,Mercedes-Benz,C200,,Auto,35995.0,49600.0,5,-0.16344007189051973,-0.029223676358872987,0.2790343815596855,0.6152157200707908,40275,4280
44,38,SSE-AD-6103834,2014 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2014/SSE-AD-6103834/?Cr=41,Mercedes-Benz,C200,,Auto,37000.0,47000.0,5,-0.16344007189051973,0.033781886502829366,0.22828655062272896,0.5889833529833258,41082,4082
106,39,OAG-AD-17338655,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17338655/?Cr=131,Mercedes-Benz,C200,,Auto,53888.0,16775.0,1,0.9112343734170072,0.7662215547701192,-0.6244789905348059,0.5702405113528282,56194,2306
46,40,SSE-AD-5980884,2017 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2017/SSE-AD-5980884/?Cr=43,Mercedes-Benz,C200,,Auto,53000.0,15000.0,2,0.6425657620901255,0.8092349678776276,-0.5796391160352861,0.5221183497395225,55313,2313
67,41,SSE-AD-6134140,2016 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-6134140/?Cr=95,Mercedes-Benz,C200,,Auto,50000.0,19200.0,3,0.37389715076324376,0.7074567509471853,-0.42815305353690825,0.5043514920468897,52578,2578
64,42,OAG-AD-17201227,2014 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2014/OAG-AD-17201227/?Cr=92,Mercedes-Benz,C200,,Auto,24950.0,86883.0,5,-0.16344007189051973,-0.9326992148868918,0.8367555683245466,0.4814282033093362,28698,3748
88,43,OAG-AD-17173331,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17173331/?Cr=114,Mercedes-Benz,C200,,Auto,58900.0,4249.0,1,0.9112343734170072,1.0697629703107667,-0.8775617056154291,0.41807519719225317,60083,1183
73,44,SSE-AD-5912552,2016 Mercedes-Benz C200 d Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-5912552/?Cr=100,Mercedes-Benz,C200,d,Auto,42000.0,46000.0,3,0.37389715076324376,0.05801479529579181,-0.02419022020790073,0.4173560807311252,44256,2256
100,45,SSE-AD-6066897,2017 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2017/SSE-AD-6066897/?Cr=125,Mercedes-Benz,C200,,Auto,47000.0,36500.0,2,0.6425657620901255,0.28822742882893504,-0.27666699103853043,0.3890196466324043,48637,1637
102,46,SSE-AD-6108600,2013 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2013/SSE-AD-6108600/?Cr=127,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,24000.0,86544.0,6,-0.4321086832174015,-0.9244842588060775,0.8847261547823662,0.37310126351754214,27372,3372
94,47,SSE-AD-6118403,2015 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2015/SSE-AD-6118403/?Cr=120,Mercedes-Benz,C200,,Auto,39000.0,50800.0,4,0.105228539436362,-0.058303166910427924,0.12729584229047708,0.3705097324869374,41334,2334
30,48,OAG-AD-17311825,2014 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2014/OAG-AD-17311825/?Cr=28,Mercedes-Benz,C200,,Auto,36990.0,51746.0,5,-0.16344007189051973,-0.0812274986285704,0.22879150416439023,0.3604794433455102,39609,2619
118,49,OAG-AD-17247657,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17247657/?Cr=142,Mercedes-Benz,C200,,Auto,59990.0,2103.0,1,0.9112343734170072,1.1217667925804642,-0.9326016416565064,0.35696303360841686,60749,759
80,50,OAG-AD-16987397,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-16987397/?Cr=107,Mercedes-Benz,C200,,Auto,59900.0,4200.0,1,0.9112343734170072,1.070950382841622,-0.9280570597815551,0.2689639597555864,60098,198
12,51,OAG-AD-16908980,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-16908980/?gts=OAG-AD-16908980&gtssaleid=OAG-AD-16908980&rankingType=TopSpot,Mercedes-Benz,C200,,Auto,59900.0,4242.0,1,0.9112343734170072,1.0699326006723175,-0.9280570597815551,0.26692839541697744,60085,185
10,52,OAG-AD-16908980,2018 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-16908980/?Cr=4,Mercedes-Benz,C200,,Auto,59900.0,4242.0,1,0.9112343734170072,1.0699326006723175,-0.9280570597815551,0.26692839541697744,60085,185
87,53,SSE-AD-6097161,2016 Mercedes-Benz C200 Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-6097161/?Cr=113,Mercedes-Benz,C200,,Auto,45000.0,39750.0,3,0.37389715076324376,0.2094704752518071,-0.17567628270627855,0.2658092531480223,46197,1197
103,54,SSE-AD-6142506,2016 Mercedes-Benz C200 d Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-6142506/?Cr=128,Mercedes-Benz,C200,d,Auto,45000.0,39780.0,3,0.37389715076324376,0.2087434879880182,-0.17567628270627855,0.2643552786204445,46187,1187
37,55,OAG-AD-17249797,2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/OAG-AD-17249797/?Cr=34,Mercedes-Benz,C200,BlueEFFICIENCY,Auto,24000.0,84307.0,7,-0.7007772945442833,-0.8702752418362205,0.8847261547823662,0.21285068613037428,26635,2635
