model,description,metric,metric_code,value,rating,link
SSE-AD-5995627,C200 - 2013 Mercedes-Benz C200 Auto,age,age,6,1.29,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2013/SSE-AD-5995627/?Cr=244
SSE-AD-6116629,C200 - 2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,price,price,14500,1.01,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/SSE-AD-6116629/?Cr=129
SSE-AD-6116629,C200 - 2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,milage,milage,107300,1.01,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/SSE-AD-6116629/?Cr=129
SSE-AD-6116629,C200 - 2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,age,age,8,1.01,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/SSE-AD-6116629/?Cr=129
OAG-AD-16920431,C200 - 2012 Mercedes-Benz C200 BlueEFFICIENCY Elegance Auto,price,price,17888,0.98,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/OAG-AD-16920431/?Cr=127
OAG-AD-16920431,C200 - 2012 Mercedes-Benz C200 BlueEFFICIENCY Elegance Auto,milage,milage,100000,0.98,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/OAG-AD-16920431/?Cr=127
OAG-AD-16920431,C200 - 2012 Mercedes-Benz C200 BlueEFFICIENCY Elegance Auto,age,age,7,0.98,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/OAG-AD-16920431/?Cr=127
SSE-AD-6076432,C200 - 2012 Mercedes-Benz C200 BlueEFFICIENCY Avantgarde Auto,price,price,21000,0.98,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/SSE-AD-6076432/?Cr=67
SSE-AD-6076432,C200 - 2012 Mercedes-Benz C200 BlueEFFICIENCY Avantgarde Auto,milage,milage,87500,0.98,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/SSE-AD-6076432/?Cr=67
SSE-AD-6076432,C200 - 2012 Mercedes-Benz C200 BlueEFFICIENCY Avantgarde Auto,age,age,7,0.98,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/SSE-AD-6076432/?Cr=67
OAG-AD-17251544,C200 - 2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,price,price,24990,0.95,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/OAG-AD-17251544/?Cr=120
OAG-AD-17251544,C200 - 2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,milage,milage,66476,0.95,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/OAG-AD-17251544/?Cr=120
OAG-AD-17251544,C200 - 2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,age,age,8,0.95,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/OAG-AD-17251544/?Cr=120
SSE-AD-5675752,C200 - 2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,price,price,28989,0.80,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/SSE-AD-5675752/?Cr=188
SSE-AD-5675752,C200 - 2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,milage,milage,59682,0.80,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/SSE-AD-5675752/?Cr=188
SSE-AD-5675752,C200 - 2012 Mercedes-Benz C200 BlueEFFICIENCY Auto,age,age,7,0.80,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2012/SSE-AD-5675752/?Cr=188
SSE-AD-6121729,C200 - 2007 Mercedes-Benz C200 Kompressor Elegance Auto,price,price,9990,0.71,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2007/SSE-AD-6121729/?gts=SSE-AD-6121729&gtssaleid=SSE-AD-6121729&rankingType=Spotlight
SSE-AD-6121729,C200 - 2007 Mercedes-Benz C200 Kompressor Elegance Auto,milage,milage,111400,0.71,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2007/SSE-AD-6121729/?gts=SSE-AD-6121729&gtssaleid=SSE-AD-6121729&rankingType=Spotlight
SSE-AD-6121729,C200 - 2007 Mercedes-Benz C200 Kompressor Elegance Auto,age,age,12,0.71,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2007/SSE-AD-6121729/?gts=SSE-AD-6121729&gtssaleid=SSE-AD-6121729&rankingType=Spotlight
SSE-AD-4938406,C200 - 2015 Mercedes-Benz C200 Auto,price,price,40000,0.68,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2015/SSE-AD-4938406/?Cr=178
SSE-AD-4938406,C200 - 2015 Mercedes-Benz C200 Auto,milage,milage,35000,0.68,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2015/SSE-AD-4938406/?Cr=178
SSE-AD-4938406,C200 - 2015 Mercedes-Benz C200 Auto,age,age,4,0.68,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2015/SSE-AD-4938406/?Cr=178
SSE-AD-5838062,C200 - 2017 Mercedes-Benz C200 Auto,price,price,49000,0.58,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2017/SSE-AD-5838062/?Cr=2
SSE-AD-5838062,C200 - 2017 Mercedes-Benz C200 Auto,milage,milage,12000,0.58,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2017/SSE-AD-5838062/?Cr=2
SSE-AD-5838062,C200 - 2017 Mercedes-Benz C200 Auto,age,age,2,0.58,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2017/SSE-AD-5838062/?Cr=2
OAG-AD-16843213,C200 - 2018 Mercedes-Benz C200 Auto,price,price,51500,0.54,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-16843213/?gts=OAG-AD-16843213&gtssaleid=OAG-AD-16843213&rankingType=Showcase
OAG-AD-16843213,C200 - 2018 Mercedes-Benz C200 Auto,milage,milage,8484,0.54,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-16843213/?gts=OAG-AD-16843213&gtssaleid=OAG-AD-16843213&rankingType=Showcase
OAG-AD-16843213,C200 - 2018 Mercedes-Benz C200 Auto,age,age,1,0.54,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-16843213/?gts=OAG-AD-16843213&gtssaleid=OAG-AD-16843213&rankingType=Showcase
SSE-AD-5390775,C200 - 2016 Mercedes-Benz C200 Auto,price,price,46990,0.51,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-5390775/?Cr=65
SSE-AD-5390775,C200 - 2016 Mercedes-Benz C200 Auto,milage,milage,16589,0.51,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-5390775/?Cr=65
SSE-AD-5390775,C200 - 2016 Mercedes-Benz C200 Auto,age,age,3,0.51,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-5390775/?Cr=65
SSE-AD-5937978,C200 - 2007 Mercedes-Benz C200 Kompressor Classic Auto,price,price,11900,0.50,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2007/SSE-AD-5937978/?Cr=184
SSE-AD-5937978,C200 - 2007 Mercedes-Benz C200 Kompressor Classic Auto,milage,milage,109000,0.50,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2007/SSE-AD-5937978/?Cr=184
SSE-AD-5937978,C200 - 2007 Mercedes-Benz C200 Kompressor Classic Auto,age,age,12,0.50,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2007/SSE-AD-5937978/?Cr=184
OAG-AD-17266744,C200 - 2007 Mercedes-Benz C200 Kompressor Elegance Auto,price,price,10990,0.50,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2007/OAG-AD-17266744/?Cr=1
OAG-AD-17266744,C200 - 2007 Mercedes-Benz C200 Kompressor Elegance Auto,milage,milage,112760,0.50,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2007/OAG-AD-17266744/?Cr=1
OAG-AD-17266744,C200 - 2007 Mercedes-Benz C200 Kompressor Elegance Auto,age,age,12,0.50,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2007/OAG-AD-17266744/?Cr=1
SSE-AD-6113900,C200 - 2016 Mercedes-Benz C200 Auto,price,price,45000,0.50,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-6113900/?Cr=243
SSE-AD-6113900,C200 - 2016 Mercedes-Benz C200 Auto,milage,milage,25000,0.50,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-6113900/?Cr=243
SSE-AD-6113900,C200 - 2016 Mercedes-Benz C200 Auto,age,age,3,0.50,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-6113900/?Cr=243
OAG-AD-17103390,C200 - 2016 Mercedes-Benz C200 Auto,price,price,45880,0.48,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/OAG-AD-17103390/?Cr=4
OAG-AD-17103390,C200 - 2016 Mercedes-Benz C200 Auto,milage,milage,21855,0.48,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/OAG-AD-17103390/?Cr=4
OAG-AD-17103390,C200 - 2016 Mercedes-Benz C200 Auto,age,age,3,0.48,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/OAG-AD-17103390/?Cr=4
OAG-AD-16598971,C200 - 2006 Mercedes-Benz C200 Kompressor Elegance Auto,price,price,6990,0.38,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2006/OAG-AD-16598971/?Cr=187
OAG-AD-16598971,C200 - 2006 Mercedes-Benz C200 Kompressor Elegance Auto,milage,milage,126465,0.38,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2006/OAG-AD-16598971/?Cr=187
OAG-AD-16598971,C200 - 2006 Mercedes-Benz C200 Kompressor Elegance Auto,age,age,13,0.38,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2006/OAG-AD-16598971/?Cr=187
SSE-AD-5472324,C200 - 2013 Mercedes-Benz C200 CDI Avantgarde Auto,price,price,19500,0.35,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-CDI-2013/SSE-AD-5472324/?Cr=123
SSE-AD-5472324,C200 - 2013 Mercedes-Benz C200 CDI Avantgarde Auto,milage,milage,115290,0.35,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-CDI-2013/SSE-AD-5472324/?Cr=123
SSE-AD-5472324,C200 - 2013 Mercedes-Benz C200 CDI Avantgarde Auto,age,age,6,0.35,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-CDI-2013/SSE-AD-5472324/?Cr=123
SSE-AD-4034916,C200 - 2007 Mercedes-Benz C200 Kompressor Classic Auto,price,price,16900,0.28,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2007/SSE-AD-4034916/?Cr=181
SSE-AD-4034916,C200 - 2007 Mercedes-Benz C200 Kompressor Classic Auto,milage,milage,94600,0.28,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2007/SSE-AD-4034916/?Cr=181
SSE-AD-4034916,C200 - 2007 Mercedes-Benz C200 Kompressor Classic Auto,age,age,12,0.28,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2007/SSE-AD-4034916/?Cr=181
SSE-AD-6108600,C200 - 2013 Mercedes-Benz C200 BlueEFFICIENCY Auto,price,price,27250,0.25,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2013/SSE-AD-6108600/?Cr=247
SSE-AD-6108600,C200 - 2013 Mercedes-Benz C200 BlueEFFICIENCY Auto,milage,milage,86544,0.25,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2013/SSE-AD-6108600/?Cr=247
SSE-AD-6108600,C200 - 2013 Mercedes-Benz C200 BlueEFFICIENCY Auto,age,age,6,0.25,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2013/SSE-AD-6108600/?Cr=247
SSE-AD-5751940,C200 - 2008 Mercedes-Benz C200 Kompressor Avantgarde Auto,price,price,19997,0.16,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2008/SSE-AD-5751940/?Cr=69
SSE-AD-5751940,C200 - 2008 Mercedes-Benz C200 Kompressor Avantgarde Auto,milage,milage,90782,0.16,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2008/SSE-AD-5751940/?Cr=69
SSE-AD-5751940,C200 - 2008 Mercedes-Benz C200 Kompressor Avantgarde Auto,age,age,11,0.16,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-Kompressor-2008/SSE-AD-5751940/?Cr=69
SSE-AD-5543454,C200 - 2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,price,price,17000,0.14,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/SSE-AD-5543454/?Cr=185
SSE-AD-5543454,C200 - 2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,milage,milage,120000,0.14,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/SSE-AD-5543454/?Cr=185
SSE-AD-5543454,C200 - 2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,age,age,8,0.14,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/SSE-AD-5543454/?Cr=185
SSE-AD-6103153,C200 - 2014 Mercedes-Benz C200 Auto,price,price,36888,0.07,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2014/SSE-AD-6103153/?gts=SSE-AD-6103153&gtssaleid=SSE-AD-6103153&rankingType=Spotlight
SSE-AD-6103153,C200 - 2014 Mercedes-Benz C200 Auto,milage,milage,57888,0.07,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2014/SSE-AD-6103153/?gts=SSE-AD-6103153&gtssaleid=SSE-AD-6103153&rankingType=Spotlight
SSE-AD-6103153,C200 - 2014 Mercedes-Benz C200 Auto,age,age,5,0.07,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2014/SSE-AD-6103153/?gts=SSE-AD-6103153&gtssaleid=SSE-AD-6103153&rankingType=Spotlight
OAG-AD-17085146,C200 - 2018 Mercedes-Benz C200 Auto,price,price,53888,0.01,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17085146/?Cr=128
OAG-AD-17085146,C200 - 2018 Mercedes-Benz C200 Auto,milage,milage,12765,0.01,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17085146/?Cr=128
OAG-AD-17085146,C200 - 2018 Mercedes-Benz C200 Auto,age,age,1,0.01,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2018/OAG-AD-17085146/?Cr=128
SSE-AD-5912552,C200 - 2016 Mercedes-Benz C200 d Auto,price,price,43000,-0.00,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-5912552/?Cr=179
SSE-AD-5912552,C200 - 2016 Mercedes-Benz C200 d Auto,milage,milage,46000,-0.00,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-5912552/?Cr=179
SSE-AD-5912552,C200 - 2016 Mercedes-Benz C200 d Auto,age,age,3,-0.00,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2016/SSE-AD-5912552/?Cr=179
SSE-AD-5239635,C200 - 2011 Mercedes-Benz C200 BlueEFFICIENCY Auto,price,price,13500,-0.01,https://www.carsales.com.au/cars/details/Mercedes-Benz-C200-2011/SSE-AD-5239635/?Cr=70
