date,Rupee,isPartial
2016-12-25,100,False
2017-01-01,98,False
2017-01-08,89,False
2017-01-15,88,False
2017-01-22,88,False
2017-01-29,89,False
2017-02-05,83,False
2017-02-12,82,False
2017-02-19,81,False
2017-02-26,80,False
2017-03-05,79,False
2017-03-12,90,False
2017-03-19,89,False
2017-03-26,93,False
2017-04-02,91,False
2017-04-09,88,False
2017-04-16,81,False
2017-04-23,85,False
2017-04-30,87,False
2017-05-07,83,False
2017-05-14,83,False
2017-05-21,87,False
2017-05-28,82,False
2017-06-04,87,False
2017-06-11,87,False
2017-06-18,78,False
2017-06-25,76,False
2017-07-02,92,False
2017-07-09,85,False
2017-07-16,85,False
2017-07-23,85,False
2017-07-30,90,False
2017-08-06,83,False
2017-08-13,85,False
2017-08-20,86,False
2017-08-27,85,False
2017-09-03,80,False
2017-09-10,88,False
2017-09-17,93,False
2017-09-24,91,False
2017-10-01,90,False
2017-10-08,87,False
2017-10-15,76,False
2017-10-22,80,False
2017-10-29,85,False
2017-11-05,89,False
2017-11-12,85,False
2017-11-19,83,False
2017-11-26,85,False
2017-12-03,81,False
2017-12-10,87,False
2017-12-17,92,True
