date,Qora,isPartial
2016-12-25,47,False
2017-01-01,48,False
2017-01-08,45,False
2017-01-15,38,False
2017-01-22,52,False
2017-01-29,48,False
2017-02-05,50,False
2017-02-12,57,False
2017-02-19,47,False
2017-02-26,50,False
2017-03-05,51,False
2017-03-12,72,False
2017-03-19,55,False
2017-03-26,95,False
2017-04-02,84,False
2017-04-09,72,False
2017-04-16,90,False
2017-04-23,63,False
2017-04-30,66,False
2017-05-07,78,False
2017-05-14,71,False
2017-05-21,52,False
2017-05-28,67,False
2017-06-04,56,False
2017-06-11,56,False
2017-06-18,56,False
2017-06-25,54,False
2017-07-02,59,False
2017-07-09,57,False
2017-07-16,54,False
2017-07-23,55,False
2017-07-30,54,False
2017-08-06,56,False
2017-08-13,100,False
2017-08-20,69,False
2017-08-27,70,False
2017-09-03,63,False
2017-09-10,46,False
2017-09-17,51,False
2017-09-24,34,False
2017-10-01,49,False
2017-10-08,43,False
2017-10-15,63,False
2017-10-22,53,False
2017-10-29,53,False
2017-11-05,66,False
2017-11-12,49,False
2017-11-19,39,False
2017-11-26,56,False
2017-12-03,68,False
2017-12-10,59,False
2017-12-17,55,True
