date,WA Space,isPartial
2016-12-25,76,False
2017-01-01,75,False
2017-01-08,62,False
2017-01-15,78,False
2017-01-22,100,False
2017-01-29,57,False
2017-02-05,66,False
2017-02-12,62,False
2017-02-19,73,False
2017-02-26,63,False
2017-03-05,87,False
2017-03-12,73,False
2017-03-19,71,False
2017-03-26,81,False
2017-04-02,66,False
2017-04-09,58,False
2017-04-16,97,False
2017-04-23,76,False
2017-04-30,83,False
2017-05-07,72,False
2017-05-14,70,False
2017-05-21,62,False
2017-05-28,71,False
2017-06-04,78,False
2017-06-11,66,False
2017-06-18,67,False
2017-06-25,73,False
2017-07-02,94,False
2017-07-09,83,False
2017-07-16,78,False
2017-07-23,76,False
2017-07-30,84,False
2017-08-06,77,False
2017-08-13,76,False
2017-08-20,89,False
2017-08-27,79,False
2017-09-03,82,False
2017-09-10,65,False
2017-09-17,71,False
2017-09-24,62,False
2017-10-01,62,False
2017-10-08,57,False
2017-10-15,51,False
2017-10-22,50,False
2017-10-29,66,False
2017-11-05,53,False
2017-11-12,65,False
2017-11-19,35,False
2017-11-26,70,False
2017-12-03,69,False
2017-12-10,57,False
2017-12-17,64,True
