date,Hyper,isPartial
2016-12-25,100,False
2017-01-01,93,False
2017-01-08,92,False
2017-01-15,89,False
2017-01-22,88,False
2017-01-29,85,False
2017-02-05,85,False
2017-02-12,85,False
2017-02-19,90,False
2017-02-26,96,False
2017-03-05,87,False
2017-03-12,86,False
2017-03-19,88,False
2017-03-26,91,False
2017-04-02,88,False
2017-04-09,93,False
2017-04-16,90,False
2017-04-23,86,False
2017-04-30,88,False
2017-05-07,93,False
2017-05-14,82,False
2017-05-21,85,False
2017-05-28,85,False
2017-06-04,85,False
2017-06-11,82,False
2017-06-18,85,False
2017-06-25,87,False
2017-07-02,87,False
2017-07-09,91,False
2017-07-16,84,False
2017-07-23,84,False
2017-07-30,82,False
2017-08-06,84,False
2017-08-13,83,False
2017-08-20,79,False
2017-08-27,79,False
2017-09-03,80,False
2017-09-10,79,False
2017-09-17,77,False
2017-09-24,84,False
2017-10-01,82,False
2017-10-08,83,False
2017-10-15,79,False
2017-10-22,84,False
2017-10-29,86,False
2017-11-05,85,False
2017-11-12,86,False
2017-11-19,93,False
2017-11-26,90,False
2017-12-03,91,False
2017-12-10,94,False
2017-12-17,92,True
