date,Tao,isPartial
2016-12-25,78,False
2017-01-01,84,False
2017-01-08,81,False
2017-01-15,100,False
2017-01-22,90,False
2017-01-29,86,False
2017-02-05,81,False
2017-02-12,83,False
2017-02-19,80,False
2017-02-26,81,False
2017-03-05,84,False
2017-03-12,84,False
2017-03-19,88,False
2017-03-26,93,False
2017-04-02,93,False
2017-04-09,94,False
2017-04-16,90,False
2017-04-23,88,False
2017-04-30,90,False
2017-05-07,84,False
2017-05-14,81,False
2017-05-21,82,False
2017-05-28,82,False
2017-06-04,79,False
2017-06-11,82,False
2017-06-18,80,False
2017-06-25,85,False
2017-07-02,83,False
2017-07-09,79,False
2017-07-16,79,False
2017-07-23,77,False
2017-07-30,76,False
2017-08-06,75,False
2017-08-13,75,False
2017-08-20,74,False
2017-08-27,72,False
2017-09-03,71,False
2017-09-10,74,False
2017-09-17,75,False
2017-09-24,72,False
2017-10-01,70,False
2017-10-08,70,False
2017-10-15,69,False
2017-10-22,68,False
2017-10-29,67,False
2017-11-05,69,False
2017-11-12,67,False
2017-11-19,65,False
2017-11-26,64,False
2017-12-03,66,False
2017-12-10,67,False
2017-12-17,63,True
