date,Onix,isPartial
2016-12-25,86,False
2017-01-01,80,False
2017-01-08,93,False
2017-01-15,92,False
2017-01-22,89,False
2017-01-29,85,False
2017-02-05,82,False
2017-02-12,90,False
2017-02-19,91,False
2017-02-26,85,False
2017-03-05,84,False
2017-03-12,89,False
2017-03-19,85,False
2017-03-26,88,False
2017-04-02,84,False
2017-04-09,83,False
2017-04-16,89,False
2017-04-23,82,False
2017-04-30,80,False
2017-05-07,87,False
2017-05-14,86,False
2017-05-21,84,False
2017-05-28,87,False
2017-06-04,76,False
2017-06-11,83,False
2017-06-18,83,False
2017-06-25,84,False
2017-07-02,80,False
2017-07-09,82,False
2017-07-16,89,False
2017-07-23,85,False
2017-07-30,93,False
2017-08-06,93,False
2017-08-13,95,False
2017-08-20,94,False
2017-08-27,96,False
2017-09-03,86,False
2017-09-10,86,False
2017-09-17,89,False
2017-09-24,92,False
2017-10-01,91,False
2017-10-08,84,False
2017-10-15,95,False
2017-10-22,100,False
2017-10-29,85,False
2017-11-05,90,False
2017-11-12,86,False
2017-11-19,87,False
2017-11-26,84,False
2017-12-03,85,False
2017-12-10,84,False
2017-12-17,83,True
