date,NEM,isPartial
2017-01-01,81,False
2017-01-08,83,False
2017-01-15,86,False
2017-01-22,84,False
2017-01-29,81,False
2017-02-05,83,False
2017-02-12,83,False
2017-02-19,83,False
2017-02-26,82,False
2017-03-05,82,False
2017-03-12,83,False
2017-03-19,82,False
2017-03-26,81,False
2017-04-02,82,False
2017-04-09,80,False
2017-04-16,80,False
2017-04-23,81,False
2017-04-30,81,False
2017-05-07,85,False
2017-05-14,83,False
2017-05-21,85,False
2017-05-28,100,False
2017-06-04,90,False
2017-06-11,93,False
2017-06-18,85,False
2017-06-25,83,False
2017-07-02,85,False
2017-07-09,80,False
2017-07-16,78,False
2017-07-23,80,False
2017-07-30,82,False
2017-08-06,85,False
2017-08-13,82,False
2017-08-20,82,False
2017-08-27,81,False
2017-09-03,80,False
2017-09-10,79,False
2017-09-17,87,False
2017-09-24,86,False
2017-10-01,81,False
2017-10-08,82,False
2017-10-15,81,False
2017-10-22,83,False
2017-10-29,83,False
2017-11-05,84,False
2017-11-12,87,False
2017-11-19,87,False
2017-11-26,86,False
2017-12-03,92,False
2017-12-10,94,False
2017-12-17,95,False
2017-12-24,87,True
