date,Espers,isPartial
2016-12-25,37,False
2017-01-01,44,False
2017-01-08,36,False
2017-01-15,27,False
2017-01-22,34,False
2017-01-29,38,False
2017-02-05,31,False
2017-02-12,31,False
2017-02-19,28,False
2017-02-26,28,False
2017-03-05,29,False
2017-03-12,25,False
2017-03-19,24,False
2017-03-26,25,False
2017-04-02,29,False
2017-04-09,26,False
2017-04-16,23,False
2017-04-23,29,False
2017-04-30,18,False
2017-05-07,22,False
2017-05-14,28,False
2017-05-21,28,False
2017-05-28,28,False
2017-06-04,31,False
2017-06-11,32,False
2017-06-18,42,False
2017-06-25,41,False
2017-07-02,47,False
2017-07-09,76,False
2017-07-16,100,False
2017-07-23,97,False
2017-07-30,71,False
2017-08-06,63,False
2017-08-13,62,False
2017-08-20,55,False
2017-08-27,45,False
2017-09-03,50,False
2017-09-10,51,False
2017-09-17,39,False
2017-09-24,29,False
2017-10-01,26,False
2017-10-08,36,False
2017-10-15,21,False
2017-10-22,36,False
2017-10-29,35,False
2017-11-05,33,False
2017-11-12,29,False
2017-11-19,32,False
2017-11-26,33,False
2017-12-03,36,False
2017-12-10,32,False
2017-12-17,37,True
