date,Sprouts,isPartial
2016-12-25,84,False
2017-01-01,56,False
2017-01-08,50,False
2017-01-15,51,False
2017-01-22,49,False
2017-01-29,48,False
2017-02-05,48,False
2017-02-12,45,False
2017-02-19,48,False
2017-02-26,49,False
2017-03-05,48,False
2017-03-12,46,False
2017-03-19,49,False
2017-03-26,49,False
2017-04-02,49,False
2017-04-09,56,False
2017-04-16,54,False
2017-04-23,47,False
2017-04-30,46,False
2017-05-07,44,False
2017-05-14,42,False
2017-05-21,44,False
2017-05-28,44,False
2017-06-04,41,False
2017-06-11,43,False
2017-06-18,44,False
2017-06-25,42,False
2017-07-02,43,False
2017-07-09,44,False
2017-07-16,42,False
2017-07-23,42,False
2017-07-30,44,False
2017-08-06,42,False
2017-08-13,41,False
2017-08-20,39,False
2017-08-27,40,False
2017-09-03,40,False
2017-09-10,40,False
2017-09-17,39,False
2017-09-24,38,False
2017-10-01,43,False
2017-10-08,49,False
2017-10-15,44,False
2017-10-22,45,False
2017-10-29,46,False
2017-11-05,51,False
2017-11-12,61,False
2017-11-19,100,False
2017-11-26,46,False
2017-12-03,48,False
2017-12-10,50,False
2017-12-17,69,True
