date,Topaz Coin,isPartial
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,35,False
2017-01-15,35,False
2017-01-22,23,False
2017-01-29,45,False
2017-02-05,69,False
2017-02-12,23,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,22,False
2017-03-12,22,False
2017-03-19,23,False
2017-03-26,23,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,23,False
2017-04-30,35,False
2017-05-07,46,False
2017-05-14,72,False
2017-05-21,37,False
2017-05-28,37,False
2017-06-04,24,False
2017-06-11,24,False
2017-06-18,48,False
2017-06-25,25,False
2017-07-02,100,False
2017-07-09,50,False
2017-07-16,98,False
2017-07-23,49,False
2017-07-30,24,False
2017-08-06,47,False
2017-08-13,36,False
2017-08-20,24,False
2017-08-27,24,False
2017-09-03,36,False
2017-09-10,23,False
2017-09-17,0,False
2017-09-24,23,False
2017-10-01,0,False
2017-10-08,58,False
2017-10-15,35,False
2017-10-22,23,False
2017-10-29,23,False
2017-11-05,22,False
2017-11-12,0,False
2017-11-19,33,False
2017-11-26,44,False
2017-12-03,23,False
2017-12-10,23,False
2017-12-17,0,True
