date,Riecoin,isPartial
2016-12-25,39,False
2017-01-01,10,False
2017-01-08,0,False
2017-01-15,17,False
2017-01-22,9,False
2017-01-29,34,False
2017-02-05,17,False
2017-02-12,27,False
2017-02-19,13,False
2017-02-26,13,False
2017-03-05,25,False
2017-03-12,25,False
2017-03-19,27,False
2017-03-26,9,False
2017-04-02,26,False
2017-04-09,18,False
2017-04-16,31,False
2017-04-23,34,False
2017-04-30,27,False
2017-05-07,0,False
2017-05-14,47,False
2017-05-21,62,False
2017-05-28,61,False
2017-06-04,64,False
2017-06-11,57,False
2017-06-18,37,False
2017-06-25,48,False
2017-07-02,53,False
2017-07-09,38,False
2017-07-16,52,False
2017-07-23,23,False
2017-07-30,18,False
2017-08-06,32,False
2017-08-13,47,False
2017-08-20,32,False
2017-08-27,19,False
2017-09-03,9,False
2017-09-10,39,False
2017-09-17,35,False
2017-09-24,18,False
2017-10-01,30,False
2017-10-08,36,False
2017-10-15,22,False
2017-10-22,34,False
2017-10-29,18,False
2017-11-05,34,False
2017-11-12,38,False
2017-11-19,34,False
2017-11-26,100,False
2017-12-03,82,False
2017-12-10,62,False
2017-12-17,63,True
