date,Argentum,isPartial
2016-12-25,80,False
2017-01-01,100,False
2017-01-08,83,False
2017-01-15,76,False
2017-01-22,77,False
2017-01-29,90,False
2017-02-05,94,False
2017-02-12,93,False
2017-02-19,72,False
2017-02-26,89,False
2017-03-05,87,False
2017-03-12,70,False
2017-03-19,83,False
2017-03-26,84,False
2017-04-02,81,False
2017-04-09,83,False
2017-04-16,76,False
2017-04-23,75,False
2017-04-30,79,False
2017-05-07,73,False
2017-05-14,64,False
2017-05-21,66,False
2017-05-28,67,False
2017-06-04,81,False
2017-06-11,71,False
2017-06-18,67,False
2017-06-25,79,False
2017-07-02,79,False
2017-07-09,67,False
2017-07-16,76,False
2017-07-23,69,False
2017-07-30,69,False
2017-08-06,59,False
2017-08-13,75,False
2017-08-20,73,False
2017-08-27,77,False
2017-09-03,67,False
2017-09-10,86,False
2017-09-17,75,False
2017-09-24,74,False
2017-10-01,84,False
2017-10-08,85,False
2017-10-15,78,False
2017-10-22,75,False
2017-10-29,72,False
2017-11-05,88,False
2017-11-12,70,False
2017-11-19,79,False
2017-11-26,81,False
2017-12-03,88,False
2017-12-10,84,False
2017-12-17,85,True
