date,Universe,isPartial
2016-12-25,18,False
2017-01-01,24,False
2017-01-08,22,False
2017-01-15,26,False
2017-01-22,38,False
2017-01-29,100,False
2017-02-05,26,False
2017-02-12,22,False
2017-02-19,22,False
2017-02-26,22,False
2017-03-05,20,False
2017-03-12,18,False
2017-03-19,18,False
2017-03-26,18,False
2017-04-02,17,False
2017-04-09,17,False
2017-04-16,16,False
2017-04-23,17,False
2017-04-30,21,False
2017-05-07,23,False
2017-05-14,20,False
2017-05-21,18,False
2017-05-28,25,False
2017-06-04,22,False
2017-06-11,20,False
2017-06-18,20,False
2017-06-25,18,False
2017-07-02,18,False
2017-07-09,19,False
2017-07-16,18,False
2017-07-23,19,False
2017-07-30,18,False
2017-08-06,17,False
2017-08-13,16,False
2017-08-20,16,False
2017-08-27,16,False
2017-09-03,15,False
2017-09-10,15,False
2017-09-17,14,False
2017-09-24,15,False
2017-10-01,14,False
2017-10-08,16,False
2017-10-15,15,False
2017-10-22,15,False
2017-10-29,15,False
2017-11-05,18,False
2017-11-12,19,False
2017-11-19,27,False
2017-11-26,65,False
2017-12-03,19,False
2017-12-10,17,False
2017-12-17,15,True
