date,Bulwark,isPartial
2016-12-25,34,False
2017-01-01,56,False
2017-01-08,60,False
2017-01-15,50,False
2017-01-22,48,False
2017-01-29,63,False
2017-02-05,47,False
2017-02-12,49,False
2017-02-19,51,False
2017-02-26,49,False
2017-03-05,54,False
2017-03-12,61,False
2017-03-19,55,False
2017-03-26,66,False
2017-04-02,55,False
2017-04-09,59,False
2017-04-16,44,False
2017-04-23,58,False
2017-04-30,48,False
2017-05-07,46,False
2017-05-14,58,False
2017-05-21,41,False
2017-05-28,44,False
2017-06-04,46,False
2017-06-11,43,False
2017-06-18,48,False
2017-06-25,50,False
2017-07-02,43,False
2017-07-09,54,False
2017-07-16,49,False
2017-07-23,47,False
2017-07-30,39,False
2017-08-06,56,False
2017-08-13,44,False
2017-08-20,49,False
2017-08-27,48,False
2017-09-03,50,False
2017-09-10,61,False
2017-09-17,49,False
2017-09-24,43,False
2017-10-01,60,False
2017-10-08,54,False
2017-10-15,64,False
2017-10-22,39,False
2017-10-29,100,False
2017-11-05,62,False
2017-11-12,49,False
2017-11-19,45,False
2017-11-26,55,False
2017-12-03,54,False
2017-12-10,52,False
2017-12-17,54,True
