date,G3N,isPartial
2016-12-25,74,False
2017-01-01,67,False
2017-01-08,93,False
2017-01-15,71,False
2017-01-22,93,False
2017-01-29,78,False
2017-02-05,81,False
2017-02-12,85,False
2017-02-19,100,False
2017-02-26,80,False
2017-03-05,84,False
2017-03-12,89,False
2017-03-19,73,False
2017-03-26,62,False
2017-04-02,87,False
2017-04-09,61,False
2017-04-16,65,False
2017-04-23,70,False
2017-04-30,60,False
2017-05-07,54,False
2017-05-14,83,False
2017-05-21,61,False
2017-05-28,62,False
2017-06-04,68,False
2017-06-11,69,False
2017-06-18,70,False
2017-06-25,77,False
2017-07-02,36,False
2017-07-09,62,False
2017-07-16,73,False
2017-07-23,40,False
2017-07-30,60,False
2017-08-06,86,False
2017-08-13,57,False
2017-08-20,70,False
2017-08-27,68,False
2017-09-03,51,False
2017-09-10,74,False
2017-09-17,71,False
2017-09-24,60,False
2017-10-01,82,False
2017-10-08,63,False
2017-10-15,68,False
2017-10-22,46,False
2017-10-29,54,False
2017-11-05,90,False
2017-11-12,50,False
2017-11-19,79,False
2017-11-26,66,False
2017-12-03,69,False
2017-12-10,66,False
2017-12-17,81,True
