date,Bela,isPartial
2016-12-25,43,False
2017-01-01,34,False
2017-01-08,37,False
2017-01-15,36,False
2017-01-22,42,False
2017-01-29,43,False
2017-02-05,39,False
2017-02-12,38,False
2017-02-19,38,False
2017-02-26,41,False
2017-03-05,62,False
2017-03-12,94,False
2017-03-19,100,False
2017-03-26,83,False
2017-04-02,75,False
2017-04-09,73,False
2017-04-16,75,False
2017-04-23,70,False
2017-04-30,63,False
2017-05-07,56,False
2017-05-14,58,False
2017-05-21,60,False
2017-05-28,62,False
2017-06-04,53,False
2017-06-11,57,False
2017-06-18,53,False
2017-06-25,53,False
2017-07-02,55,False
2017-07-09,55,False
2017-07-16,49,False
2017-07-23,43,False
2017-07-30,42,False
2017-08-06,37,False
2017-08-13,38,False
2017-08-20,41,False
2017-08-27,38,False
2017-09-03,37,False
2017-09-10,37,False
2017-09-17,35,False
2017-09-24,35,False
2017-10-01,36,False
2017-10-08,34,False
2017-10-15,35,False
2017-10-22,36,False
2017-10-29,35,False
2017-11-05,35,False
2017-11-12,36,False
2017-11-19,36,False
2017-11-26,36,False
2017-12-03,37,False
2017-12-10,38,False
2017-12-17,42,True
