date,PotCoin,isPartial
2016-12-25,1,False
2017-01-01,1,False
2017-01-08,1,False
2017-01-15,1,False
2017-01-22,1,False
2017-01-29,1,False
2017-02-05,1,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,1,False
2017-03-05,1,False
2017-03-12,1,False
2017-03-19,1,False
2017-03-26,2,False
2017-04-02,2,False
2017-04-09,3,False
2017-04-16,3,False
2017-04-23,2,False
2017-04-30,2,False
2017-05-07,2,False
2017-05-14,3,False
2017-05-21,2,False
2017-05-28,4,False
2017-06-04,3,False
2017-06-11,100,False
2017-06-18,17,False
2017-06-25,9,False
2017-07-02,7,False
2017-07-09,5,False
2017-07-16,5,False
2017-07-23,4,False
2017-07-30,4,False
2017-08-06,8,False
2017-08-13,8,False
2017-08-20,5,False
2017-08-27,5,False
2017-09-03,5,False
2017-09-10,4,False
2017-09-17,4,False
2017-09-24,4,False
2017-10-01,3,False
2017-10-08,5,False
2017-10-15,4,False
2017-10-22,5,False
2017-10-29,4,False
2017-11-05,17,False
2017-11-12,9,False
2017-11-19,12,False
2017-11-26,24,False
2017-12-03,35,False
2017-12-10,50,False
2017-12-17,33,True
