date,Cyder,isPartial
2016-12-25,71,False
2017-01-01,45,False
2017-01-08,67,False
2017-01-15,75,False
2017-01-22,53,False
2017-01-29,60,False
2017-02-05,69,False
2017-02-12,69,False
2017-02-19,61,False
2017-02-26,64,False
2017-03-05,45,False
2017-03-12,54,False
2017-03-19,55,False
2017-03-26,63,False
2017-04-02,81,False
2017-04-09,73,False
2017-04-16,84,False
2017-04-23,72,False
2017-04-30,68,False
2017-05-07,65,False
2017-05-14,71,False
2017-05-21,58,False
2017-05-28,70,False
2017-06-04,66,False
2017-06-11,91,False
2017-06-18,59,False
2017-06-25,68,False
2017-07-02,81,False
2017-07-09,56,False
2017-07-16,86,False
2017-07-23,64,False
2017-07-30,58,False
2017-08-06,72,False
2017-08-13,93,False
2017-08-20,61,False
2017-08-27,80,False
2017-09-03,100,False
2017-09-10,61,False
2017-09-17,72,False
2017-09-24,62,False
2017-10-01,65,False
2017-10-08,67,False
2017-10-15,76,False
2017-10-22,78,False
2017-10-29,72,False
2017-11-05,67,False
2017-11-12,59,False
2017-11-19,46,False
2017-11-26,67,False
2017-12-03,53,False
2017-12-10,60,False
2017-12-17,54,True
