date,Dollar Online,isPartial
2016-12-25,85,False
2017-01-01,90,False
2017-01-08,87,False
2017-01-15,88,False
2017-01-22,83,False
2017-01-29,92,False
2017-02-05,90,False
2017-02-12,82,False
2017-02-19,80,False
2017-02-26,85,False
2017-03-05,81,False
2017-03-12,78,False
2017-03-19,91,False
2017-03-26,87,False
2017-04-02,80,False
2017-04-09,86,False
2017-04-16,89,False
2017-04-23,92,False
2017-04-30,89,False
2017-05-07,81,False
2017-05-14,82,False
2017-05-21,77,False
2017-05-28,77,False
2017-06-04,82,False
2017-06-11,86,False
2017-06-18,79,False
2017-06-25,85,False
2017-07-02,83,False
2017-07-09,89,False
2017-07-16,88,False
2017-07-23,98,False
2017-07-30,100,False
2017-08-06,89,False
2017-08-13,88,False
2017-08-20,82,False
2017-08-27,86,False
2017-09-03,85,False
2017-09-10,85,False
2017-09-17,91,False
2017-09-24,78,False
2017-10-01,81,False
2017-10-08,87,False
2017-10-15,82,False
2017-10-22,87,False
2017-10-29,84,False
2017-11-05,90,False
2017-11-12,91,False
2017-11-19,91,False
2017-11-26,88,False
2017-12-03,96,False
2017-12-10,93,False
2017-12-17,88,True
