date,Dynamic,isPartial
2016-12-25,70,False
2017-01-01,81,False
2017-01-08,91,False
2017-01-15,94,False
2017-01-22,92,False
2017-01-29,93,False
2017-02-05,95,False
2017-02-12,96,False
2017-02-19,95,False
2017-02-26,100,False
2017-03-05,99,False
2017-03-12,94,False
2017-03-19,100,False
2017-03-26,100,False
2017-04-02,95,False
2017-04-09,95,False
2017-04-16,91,False
2017-04-23,93,False
2017-04-30,92,False
2017-05-07,94,False
2017-05-14,89,False
2017-05-21,85,False
2017-05-28,83,False
2017-06-04,87,False
2017-06-11,84,False
2017-06-18,84,False
2017-06-25,81,False
2017-07-02,82,False
2017-07-09,83,False
2017-07-16,86,False
2017-07-23,86,False
2017-07-30,83,False
2017-08-06,83,False
2017-08-13,80,False
2017-08-20,81,False
2017-08-27,84,False
2017-09-03,87,False
2017-09-10,93,False
2017-09-17,92,False
2017-09-24,95,False
2017-10-01,95,False
2017-10-08,100,False
2017-10-15,93,False
2017-10-22,96,False
2017-10-29,96,False
2017-11-05,97,False
2017-11-12,99,False
2017-11-19,91,False
2017-11-26,99,False
2017-12-03,95,False
2017-12-10,90,False
2017-12-17,87,True
