date,GameCredits,isPartial
2016-12-25,9,False
2017-01-01,9,False
2017-01-08,4,False
2017-01-15,0,False
2017-01-22,21,False
2017-01-29,25,False
2017-02-05,12,False
2017-02-12,12,False
2017-02-19,25,False
2017-02-26,20,False
2017-03-05,16,False
2017-03-12,16,False
2017-03-19,8,False
2017-03-26,17,False
2017-04-02,4,False
2017-04-09,26,False
2017-04-16,37,False
2017-04-23,28,False
2017-04-30,17,False
2017-05-07,21,False
2017-05-14,100,False
2017-05-21,27,False
2017-05-28,44,False
2017-06-04,73,False
2017-06-11,62,False
2017-06-18,68,False
2017-06-25,41,False
2017-07-02,31,False
2017-07-09,18,False
2017-07-16,54,False
2017-07-23,26,False
2017-07-30,34,False
2017-08-06,77,False
2017-08-13,30,False
2017-08-20,47,False
2017-08-27,30,False
2017-09-03,25,False
2017-09-10,37,False
2017-09-17,42,False
2017-09-24,58,False
2017-10-01,42,False
2017-10-08,21,False
2017-10-15,21,False
2017-10-22,45,False
2017-10-29,37,False
2017-11-05,20,False
2017-11-12,44,False
2017-11-19,32,False
2017-11-26,44,False
2017-12-03,32,False
2017-12-10,89,False
2017-12-17,91,True
