date,Cabbage,isPartial
2016-12-25,36,False
2017-01-01,47,False
2017-01-08,36,False
2017-01-15,36,False
2017-01-22,35,False
2017-01-29,33,False
2017-02-05,32,False
2017-02-12,30,False
2017-02-19,32,False
2017-02-26,33,False
2017-03-05,40,False
2017-03-12,100,False
2017-03-19,46,False
2017-03-26,33,False
2017-04-02,30,False
2017-04-09,29,False
2017-04-16,28,False
2017-04-23,27,False
2017-04-30,28,False
2017-05-07,26,False
2017-05-14,26,False
2017-05-21,26,False
2017-05-28,26,False
2017-06-04,26,False
2017-06-11,26,False
2017-06-18,26,False
2017-06-25,26,False
2017-07-02,26,False
2017-07-09,27,False
2017-07-16,27,False
2017-07-23,29,False
2017-07-30,28,False
2017-08-06,29,False
2017-08-13,28,False
2017-08-20,28,False
2017-08-27,29,False
2017-09-03,29,False
2017-09-10,30,False
2017-09-17,31,False
2017-09-24,30,False
2017-10-01,32,False
2017-10-08,33,False
2017-10-15,34,False
2017-10-22,34,False
2017-10-29,33,False
2017-11-05,34,False
2017-11-12,34,False
2017-11-19,30,False
2017-11-26,29,False
2017-12-03,32,False
2017-12-10,32,False
2017-12-17,35,True
