date,MaxCoin,isPartial
2016-12-25,8,False
2017-01-01,15,False
2017-01-08,7,False
2017-01-15,7,False
2017-01-22,0,False
2017-01-29,14,False
2017-02-05,7,False
2017-02-12,7,False
2017-02-19,14,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,20,False
2017-03-19,14,False
2017-03-26,7,False
2017-04-02,14,False
2017-04-09,7,False
2017-04-16,21,False
2017-04-23,0,False
2017-04-30,21,False
2017-05-07,0,False
2017-05-14,15,False
2017-05-21,38,False
2017-05-28,8,False
2017-06-04,15,False
2017-06-11,30,False
2017-06-18,80,False
2017-06-25,100,False
2017-07-02,93,False
2017-07-09,38,False
2017-07-16,53,False
2017-07-23,89,False
2017-07-30,44,False
2017-08-06,65,False
2017-08-13,45,False
2017-08-20,59,False
2017-08-27,36,False
2017-09-03,44,False
2017-09-10,35,False
2017-09-17,21,False
2017-09-24,29,False
2017-10-01,14,False
2017-10-08,21,False
2017-10-15,42,False
2017-10-22,28,False
2017-10-29,42,False
2017-11-05,7,False
2017-11-12,48,False
2017-11-19,41,False
2017-11-26,34,False
2017-12-03,98,False
2017-12-10,48,False
2017-12-17,98,True
