date,E-coin,isPartial
2016-12-25,60,False
2017-01-01,80,False
2017-01-08,68,False
2017-01-15,65,False
2017-01-22,56,False
2017-01-29,60,False
2017-02-05,62,False
2017-02-12,52,False
2017-02-19,47,False
2017-02-26,94,False
2017-03-05,72,False
2017-03-12,29,False
2017-03-19,67,False
2017-03-26,37,False
2017-04-02,47,False
2017-04-09,61,False
2017-04-16,26,False
2017-04-23,63,False
2017-04-30,34,False
2017-05-07,50,False
2017-05-14,63,False
2017-05-21,20,False
2017-05-28,59,False
2017-06-04,35,False
2017-06-11,36,False
2017-06-18,64,False
2017-06-25,28,False
2017-07-02,40,False
2017-07-09,33,False
2017-07-16,67,False
2017-07-23,43,False
2017-07-30,20,False
2017-08-06,31,False
2017-08-13,31,False
2017-08-20,31,False
2017-08-27,39,False
2017-09-03,39,False
2017-09-10,45,False
2017-09-17,77,False
2017-09-24,33,False
2017-10-01,86,False
2017-10-08,100,False
2017-10-15,68,False
2017-10-22,40,False
2017-10-29,37,False
2017-11-05,64,False
2017-11-12,37,False
2017-11-19,50,False
2017-11-26,39,False
2017-12-03,22,False
2017-12-10,18,False
2017-12-17,45,True
