date,Quark,isPartial
2016-12-25,71,False
2017-01-01,79,False
2017-01-08,88,False
2017-01-15,89,False
2017-01-22,88,False
2017-01-29,91,False
2017-02-05,85,False
2017-02-12,83,False
2017-02-19,88,False
2017-02-26,89,False
2017-03-05,89,False
2017-03-12,89,False
2017-03-19,93,False
2017-03-26,85,False
2017-04-02,85,False
2017-04-09,100,False
2017-04-16,87,False
2017-04-23,87,False
2017-04-30,96,False
2017-05-07,89,False
2017-05-14,96,False
2017-05-21,83,False
2017-05-28,87,False
2017-06-04,83,False
2017-06-11,91,False
2017-06-18,83,False
2017-06-25,82,False
2017-07-02,86,False
2017-07-09,83,False
2017-07-16,83,False
2017-07-23,93,False
2017-07-30,78,False
2017-08-06,87,False
2017-08-13,77,False
2017-08-20,86,False
2017-08-27,80,False
2017-09-03,79,False
2017-09-10,73,False
2017-09-17,83,False
2017-09-24,77,False
2017-10-01,85,False
2017-10-08,81,False
2017-10-15,77,False
2017-10-22,72,False
2017-10-29,83,False
2017-11-05,87,False
2017-11-12,79,False
2017-11-19,75,False
2017-11-26,64,False
2017-12-03,68,False
2017-12-10,69,False
2017-12-17,77,True
