date,Wink,isPartial
2016-12-25,52,False
2017-01-01,48,False
2017-01-08,47,False
2017-01-15,46,False
2017-01-22,45,False
2017-01-29,47,False
2017-02-05,44,False
2017-02-12,46,False
2017-02-19,43,False
2017-02-26,47,False
2017-03-05,51,False
2017-03-12,45,False
2017-03-19,45,False
2017-03-26,45,False
2017-04-02,46,False
2017-04-09,43,False
2017-04-16,47,False
2017-04-23,47,False
2017-04-30,46,False
2017-05-07,43,False
2017-05-14,44,False
2017-05-21,45,False
2017-05-28,45,False
2017-06-04,48,False
2017-06-11,48,False
2017-06-18,47,False
2017-06-25,48,False
2017-07-02,44,False
2017-07-09,46,False
2017-07-16,48,False
2017-07-23,44,False
2017-07-30,51,False
2017-08-06,43,False
2017-08-13,47,False
2017-08-20,50,False
2017-08-27,51,False
2017-09-03,93,False
2017-09-10,100,False
2017-09-17,43,False
2017-09-24,44,False
2017-10-01,45,False
2017-10-08,42,False
2017-10-15,46,False
2017-10-22,46,False
2017-10-29,43,False
2017-11-05,43,False
2017-11-12,44,False
2017-11-19,45,False
2017-11-26,49,False
2017-12-03,45,False
2017-12-10,45,False
2017-12-17,47,True
