date,Rise,isPartial
2016-12-25,74,False
2017-01-01,73,False
2017-01-08,71,False
2017-01-15,78,False
2017-01-22,70,False
2017-01-29,71,False
2017-02-05,71,False
2017-02-12,71,False
2017-02-19,74,False
2017-02-26,91,False
2017-03-05,75,False
2017-03-12,73,False
2017-03-19,69,False
2017-03-26,69,False
2017-04-02,67,False
2017-04-09,71,False
2017-04-16,67,False
2017-04-23,67,False
2017-04-30,66,False
2017-05-07,65,False
2017-05-14,63,False
2017-05-21,64,False
2017-05-28,63,False
2017-06-04,66,False
2017-06-11,73,False
2017-06-18,66,False
2017-06-25,69,False
2017-07-02,65,False
2017-07-09,72,False
2017-07-16,70,False
2017-07-23,64,False
2017-07-30,64,False
2017-08-06,65,False
2017-08-13,65,False
2017-08-20,60,False
2017-08-27,61,False
2017-09-03,62,False
2017-09-10,63,False
2017-09-17,64,False
2017-09-24,66,False
2017-10-01,68,False
2017-10-08,100,False
2017-10-15,67,False
2017-10-22,67,False
2017-10-29,70,False
2017-11-05,69,False
2017-11-12,68,False
2017-11-19,65,False
2017-11-26,66,False
2017-12-03,68,False
2017-12-10,66,False
2017-12-17,61,True
