date,Version,isPartial
2016-12-25,96,False
2017-01-01,95,False
2017-01-08,93,False
2017-01-15,95,False
2017-01-22,97,False
2017-01-29,95,False
2017-02-05,94,False
2017-02-12,93,False
2017-02-19,96,False
2017-02-26,98,False
2017-03-05,100,False
2017-03-12,96,False
2017-03-19,100,False
2017-03-26,100,False
2017-04-02,98,False
2017-04-09,97,False
2017-04-16,94,False
2017-04-23,94,False
2017-04-30,94,False
2017-05-07,97,False
2017-05-14,91,False
2017-05-21,93,False
2017-05-28,92,False
2017-06-04,91,False
2017-06-11,93,False
2017-06-18,90,False
2017-06-25,95,False
2017-07-02,93,False
2017-07-09,93,False
2017-07-16,97,False
2017-07-23,96,False
2017-07-30,90,False
2017-08-06,95,False
2017-08-13,94,False
2017-08-20,93,False
2017-08-27,89,False
2017-09-03,91,False
2017-09-10,90,False
2017-09-17,93,False
2017-09-24,93,False
2017-10-01,93,False
2017-10-08,94,False
2017-10-15,92,False
2017-10-22,91,False
2017-10-29,95,False
2017-11-05,95,False
2017-11-12,97,False
2017-11-19,92,False
2017-11-26,97,False
2017-12-03,96,False
2017-12-10,97,False
2017-12-17,94,True
