date,MSD,isPartial
2016-12-25,50,False
2017-01-01,86,False
2017-01-08,73,False
2017-01-15,75,False
2017-01-22,73,False
2017-01-29,73,False
2017-02-05,74,False
2017-02-12,74,False
2017-02-19,73,False
2017-02-26,77,False
2017-03-05,73,False
2017-03-12,78,False
2017-03-19,82,False
2017-03-26,80,False
2017-04-02,80,False
2017-04-09,72,False
2017-04-16,79,False
2017-04-23,80,False
2017-04-30,74,False
2017-05-07,80,False
2017-05-14,78,False
2017-05-21,81,False
2017-05-28,80,False
2017-06-04,71,False
2017-06-11,75,False
2017-06-18,79,False
2017-06-25,90,False
2017-07-02,100,False
2017-07-09,77,False
2017-07-16,79,False
2017-07-23,78,False
2017-07-30,72,False
2017-08-06,71,False
2017-08-13,73,False
2017-08-20,80,False
2017-08-27,81,False
2017-09-03,80,False
2017-09-10,77,False
2017-09-17,77,False
2017-09-24,77,False
2017-10-01,81,False
2017-10-08,82,False
2017-10-15,75,False
2017-10-22,75,False
2017-10-29,76,False
2017-11-05,78,False
2017-11-12,76,False
2017-11-19,74,False
2017-11-26,78,False
2017-12-03,79,False
2017-12-10,81,False
2017-12-17,82,True
