date,Swisscoin,isPartial
2016-12-25,90,False
2017-01-01,100,False
2017-01-08,95,False
2017-01-15,73,False
2017-01-22,76,False
2017-01-29,74,False
2017-02-05,81,False
2017-02-12,56,False
2017-02-19,45,False
2017-02-26,34,False
2017-03-05,40,False
2017-03-12,34,False
2017-03-19,50,False
2017-03-26,45,False
2017-04-02,40,False
2017-04-09,33,False
2017-04-16,34,False
2017-04-23,26,False
2017-04-30,20,False
2017-05-07,19,False
2017-05-14,21,False
2017-05-21,33,False
2017-05-28,31,False
2017-06-04,38,False
2017-06-11,38,False
2017-06-18,33,False
2017-06-25,41,False
2017-07-02,23,False
2017-07-09,41,False
2017-07-16,23,False
2017-07-23,26,False
2017-07-30,33,False
2017-08-06,27,False
2017-08-13,25,False
2017-08-20,28,False
2017-08-27,23,False
2017-09-03,17,False
2017-09-10,24,False
2017-09-17,12,False
2017-09-24,22,False
2017-10-01,32,False
2017-10-08,47,False
2017-10-15,36,False
2017-10-22,39,False
2017-10-29,38,False
2017-11-05,69,False
2017-11-12,25,False
2017-11-19,40,False
2017-11-26,48,False
2017-12-03,41,False
2017-12-10,34,False
2017-12-17,44,True
