date,Evotion,isPartial
2016-12-25,41,False
2017-01-01,63,False
2017-01-08,60,False
2017-01-15,61,False
2017-01-22,96,False
2017-01-29,72,False
2017-02-05,71,False
2017-02-12,47,False
2017-02-19,36,False
2017-02-26,59,False
2017-03-05,69,False
2017-03-12,34,False
2017-03-19,24,False
2017-03-26,71,False
2017-04-02,36,False
2017-04-09,61,False
2017-04-16,85,False
2017-04-23,71,False
2017-04-30,60,False
2017-05-07,24,False
2017-05-14,89,False
2017-05-21,64,False
2017-05-28,64,False
2017-06-04,50,False
2017-06-11,0,False
2017-06-18,50,False
2017-06-25,39,False
2017-07-02,52,False
2017-07-09,26,False
2017-07-16,51,False
2017-07-23,64,False
2017-07-30,50,False
2017-08-06,12,False
2017-08-13,62,False
2017-08-20,49,False
2017-08-27,100,False
2017-09-03,62,False
2017-09-10,36,False
2017-09-17,48,False
2017-09-24,36,False
2017-10-01,96,False
2017-10-08,83,False
2017-10-15,97,False
2017-10-22,48,False
2017-10-29,47,False
2017-11-05,81,False
2017-11-12,47,False
2017-11-19,46,False
2017-11-26,46,False
2017-12-03,47,False
2017-12-10,58,False
2017-12-17,84,True
