date,Linx,isPartial
2016-12-25,64,False
2017-01-01,62,False
2017-01-08,92,False
2017-01-15,72,False
2017-01-22,65,False
2017-01-29,64,False
2017-02-05,62,False
2017-02-12,70,False
2017-02-19,63,False
2017-02-26,63,False
2017-03-05,63,False
2017-03-12,66,False
2017-03-19,54,False
2017-03-26,58,False
2017-04-02,64,False
2017-04-09,61,False
2017-04-16,58,False
2017-04-23,60,False
2017-04-30,56,False
2017-05-07,56,False
2017-05-14,57,False
2017-05-21,64,False
2017-05-28,61,False
2017-06-04,56,False
2017-06-11,57,False
2017-06-18,100,False
2017-06-25,60,False
2017-07-02,69,False
2017-07-09,64,False
2017-07-16,60,False
2017-07-23,50,False
2017-07-30,61,False
2017-08-06,57,False
2017-08-13,62,False
2017-08-20,55,False
2017-08-27,62,False
2017-09-03,59,False
2017-09-10,59,False
2017-09-17,62,False
2017-09-24,59,False
2017-10-01,63,False
2017-10-08,57,False
2017-10-15,59,False
2017-10-22,60,False
2017-10-29,59,False
2017-11-05,63,False
2017-11-12,63,False
2017-11-19,65,False
2017-11-26,60,False
2017-12-03,61,False
2017-12-10,67,False
2017-12-17,62,True
