date,Wowcoin,isPartial
2016-12-25,70,False
2017-01-01,49,False
2017-01-08,62,False
2017-01-15,0,False
2017-01-22,31,False
2017-01-29,31,False
2017-02-05,46,False
2017-02-12,30,False
2017-02-19,61,False
2017-02-26,75,False
2017-03-05,29,False
2017-03-12,59,False
2017-03-19,76,False
2017-03-26,30,False
2017-04-02,0,False
2017-04-09,31,False
2017-04-16,62,False
2017-04-23,30,False
2017-04-30,62,False
2017-05-07,76,False
2017-05-14,64,False
2017-05-21,66,False
2017-05-28,0,False
2017-06-04,32,False
2017-06-11,49,False
2017-06-18,31,False
2017-06-25,100,False
2017-07-02,33,False
2017-07-09,33,False
2017-07-16,33,False
2017-07-23,49,False
2017-07-30,48,False
2017-08-06,94,False
2017-08-13,32,False
2017-08-20,48,False
2017-08-27,32,False
2017-09-03,32,False
2017-09-10,46,False
2017-09-17,46,False
2017-09-24,93,False
2017-10-01,0,False
2017-10-08,31,False
2017-10-15,31,False
2017-10-22,30,False
2017-10-29,61,False
2017-11-05,45,False
2017-11-12,90,False
2017-11-19,30,False
2017-11-26,74,False
2017-12-03,91,False
2017-12-10,30,False
2017-12-17,42,True
