date,SHIELD,isPartial
2016-12-25,73,False
2017-01-01,82,False
2017-01-08,82,False
2017-01-15,83,False
2017-01-22,79,False
2017-01-29,82,False
2017-02-05,76,False
2017-02-12,77,False
2017-02-19,78,False
2017-02-26,80,False
2017-03-05,79,False
2017-03-12,75,False
2017-03-19,73,False
2017-03-26,80,False
2017-04-02,80,False
2017-04-09,78,False
2017-04-16,79,False
2017-04-23,78,False
2017-04-30,81,False
2017-05-07,80,False
2017-05-14,78,False
2017-05-21,74,False
2017-05-28,66,False
2017-06-04,65,False
2017-06-11,67,False
2017-06-18,70,False
2017-06-25,70,False
2017-07-02,67,False
2017-07-09,70,False
2017-07-16,70,False
2017-07-23,68,False
2017-07-30,81,False
2017-08-06,100,False
2017-08-13,66,False
2017-08-20,65,False
2017-08-27,63,False
2017-09-03,62,False
2017-09-10,61,False
2017-09-17,65,False
2017-09-24,65,False
2017-10-01,67,False
2017-10-08,72,False
2017-10-15,69,False
2017-10-22,70,False
2017-10-29,69,False
2017-11-05,71,False
2017-11-12,72,False
2017-11-19,69,False
2017-11-26,79,False
2017-12-03,80,False
2017-12-10,77,False
2017-12-17,71,True
