date,Radium,isPartial
2016-12-25,49,False
2017-01-01,53,False
2017-01-08,55,False
2017-01-15,63,False
2017-01-22,64,False
2017-01-29,65,False
2017-02-05,64,False
2017-02-12,62,False
2017-02-19,66,False
2017-02-26,67,False
2017-03-05,58,False
2017-03-12,57,False
2017-03-19,53,False
2017-03-26,59,False
2017-04-02,59,False
2017-04-09,65,False
2017-04-16,66,False
2017-04-23,69,False
2017-04-30,88,False
2017-05-07,100,False
2017-05-14,75,False
2017-05-21,72,False
2017-05-28,66,False
2017-06-04,72,False
2017-06-11,52,False
2017-06-18,71,False
2017-06-25,63,False
2017-07-02,74,False
2017-07-09,76,False
2017-07-16,72,False
2017-07-23,90,False
2017-07-30,88,False
2017-08-06,79,False
2017-08-13,72,False
2017-08-20,77,False
2017-08-27,64,False
2017-09-03,68,False
2017-09-10,72,False
2017-09-17,70,False
2017-09-24,71,False
2017-10-01,71,False
2017-10-08,75,False
2017-10-15,60,False
2017-10-22,67,False
2017-10-29,67,False
2017-11-05,77,False
2017-11-12,82,False
2017-11-19,64,False
2017-11-26,66,False
2017-12-03,59,False
2017-12-10,60,False
2017-12-17,61,True
